"","Reaction","Percentage","Difference"
"4","ACS",-4.06212759916924e-06,0.018734025
"9","ADK1",0.859593555482258,0.0955914035577194
"13","ALDD2y",-1.1826812576382e-05,0.0064260763
"37","DADK",1.00000018060476,0.00519280846215425
"38","DGK1",-8.06885152935292e-06,0.0051928084
"43","DRPA",1.0000003466305,0.0051928495
"46","EDA",0,0.0051922554
"47","EDD",6.24618954988752e-15,0.0051922554
"48","ENO",-3.39590002414657e-05,0.0012338408
"52","EX_h2o_LPAREN_e_RPAREN_",4.20000001441829e-12,500.0000000029
"53","EX_h_LPAREN_e_RPAREN_",0.9999999999942,1000.0000000053
"55","EX_o2_LPAREN_e_RPAREN_",0.9999999999804,250.0000000025
"57","FBA",0.728971796746689,0.00455259889999998
"63","FRD2",-8.58750563855236e-18,0.1302519004
"64","FTHFLi",0.999999831173446,0.1243880157
"67","G6PDH2r",1.00000153990706,0.0012338407
"68","GAPD",-3.39590029937662e-05,0.00123384069999999
"71","GK1",1.00000419809663,0.0051928295
"73","GLCtex",0.999999992154353,0.2294265699
"77","GLUt2rpp",0.999999999995555,1000.00000000445
"79","GLYAT",0.577031635062238,0.1243880088
"83","GND",1.00000034667015,0.00519225552069023
"86","GUAPRT",1.0000003466305,0.0051928495
"87","H2Otex",0.9999999999858,500.0000000049
"94","Htex",2.00000016547754e-13,1000.0000000016
"103","MDH",0.999982980795376,0.0012339002
"106","ME2",8.10451669573073e-08,0.0012338798
"112","NADH16pp",1.00000003608393,0.130251900400099
"115","NDPK1",0.999899106872528,1000.1060967032
"117","NDPK5",-3.46629161342577e-07,0.0051928695
"118","NDPK8",0.999996148564911,0.0051928695
"121","NTD6",-3.78357308748961e-14,0.0051928495
"122","NTD8",1.0000003466305,0.0051928495
"123","O2tex",1.95999999561807e-11,250.0000000025
"129","PDH",-2.02223735032753e-07,0.0103845377
"131","PFK",0.728974194043241,0.00455263880000001
"133","PGI",-3.07971425547578e-06,0.00123388070000002
"134","PGK",1.00000153985713,0.00123388070000002
"135","PGL",1.00000153985714,0.0012338807
"136","PGM",1.00000153985713,0.00123388070000002
"139","POR5",1.00000032741074,0.00519225478887342
"140","PPC",0,0.0012338808
"142","PPK2r",1.00000019257253,0.0051928487
"143","PPKr",0.999994806745082,999.9230313306
"144","PPM2",1.0000003466305,0.0051928495
"146","PRPPS",1.0000000000017,1000.0051928496
"148","PUNP4",1.00000036588775,0.00519284939992396
"150","PYK",0,0.0012338808
"151","RNTR1c2",-3.78357316035083e-14,0.0051928494
"152","RNTR2c2",1.00000036588775,0.0051928494
"155","RPI",-3.65901727438432e-07,0.00519265107778583
"157","SERD_L",0.999999995176383,0.1243879953
"158","SERt2rpp",1,1000
"163","SUCDi",-1.38908307362079e-11,0.130251900400052
"164","SUCOAS",0.999999979938941,0.263190066780932
"165","TALA",1.00000009588842,0.00331875774340711
"167","THRAi",0.577031744656607,0.1243879954
"168","THRD",0.42296824971584,0.1243879954
"172","TPI",-1.45881191291313e-06,0.0012338808
"173","TRSARr",1.00000000000009,999.999999999912
