ACEA,1.5556140493427597e-09
ACEB,3.3526089186862414e-10
ACK,5.990227002806272e-07
ACN_1,2.822844507590914e-11
ACN_2,2.3334687672003323e-11
ACS,1.6467852244841315e-06
ATP_MAINTENANCE,2.462954731859136e-07
ATP_syn,1.1835842520145166e-07
CITRA_SYN,6.832191273005825e-07
CYTBO,7.834989139632567e-08
EDA,2.7612794213835523e-09
EDD,8.218138919988873e-09
ENO,2.391866395411288e-10
FBA,8.402842628335798e-10
FBP,3.3422743878713874e-11
FUMA,4.833206640710657e-12
GDH,3.1798060036634635e-08
GLT,8.561599627431843e-08
GND,8.48306052573947e-09
GPM,9.913233746510825e-11
GROWTH,1.6922220646962417e-09
LPD,3.651852096471763e-09
MAD,2.6411383752506053e-09
MDH,1.160441456789972e-08
MQO,1.0655916952944411e-08
NADH_req,1.922230026926202e-08
NDHII,2.1718005703501733e-08
PCK,2.4308852034581446e-09
PDH,3.720098575526986e-09
PFK,7.306032825361426e-08
PGI,2.635112416782859e-09
PGK,2.726893807180713e-12
PGL,2.8653469976301947e-11
PIT,1.6680532170287595e-09
PPC,1.2015380984937714e-08
PPS,1.120809214262565e-12
PTA,8.871891259009066e-08
PYK,2.0524704929490088e-08
RPE,2.4476769485499642e-11
RPI,4.864329665280679e-11
SDH,2.041642463118663e-10
SK,4.756788705405537e-12
SQR,3.1702536622120646e-12
TPI,1.712158963271093e-10
XCH_ACE1,9.103306930196254e-10
XCH_ACE2,9.407907735561619e-10
XCH_GLC,2.0581032386793864e-12
XCH_P,9.917097427716251e-14
ZWF,1.662953624139287e-08
