ACEA,0.024671801041175126
ACEB,0.005232838004295207
ACK,9.908331894481828e-06
ACN_1,5.666284617832432e-06
ACN_2,4.797060389589991e-06
ACS,5.092705479201043e-08
ATP_MAINTENANCE,0.015941348332186252
ATP_syn,0.004625127523477707
CITRA_SYN,0.08026363551526806
CYTBO,0.013364338622309202
EDA,0.00021211291315699314
EDD,0.0006432638586215834
ENO,0.0032626415921359307
FBA,5.611889220366942e-05
FBP,3.1834723248531926e-06
FUMA,7.993352211695115e-07
GDH,0.010814593964059553
GLT,0.06470474544114119
GND,0.0006184703528492787
GPM,0.0013126428768439474
GROWTH,0.001236850317547852
LPD,0.016042074428442032
MAD,0.000488324718079157
MDH,0.0013408556822346943
MQO,0.001988439746958578
NADH_req,0.000679280638562204
NDHII,0.0031498699654093354
PCK,0.0010165678253559601
PDH,0.0003414513710370132
PFK,0.01586244894244297
PGI,0.0031290096573100314
PGK,2.8781890471646365e-08
PGL,3.861098013108882e-06
PIT,4.8823790267639444e-05
PPC,0.0008582523212365932
PPS,2.1068730506404454e-07
PTA,1.464402922654942e-06
PYK,0.010278924492885422
RPE,8.845444716484505e-06
RPI,2.1936446713236024e-05
SDH,0.0021151763790193522
SK,2.561516427787569e-08
SQR,2.8727352058496164e-05
TPI,1.0508838786017424e-05
XCH_ACE1,2.0451268629984032e-10
XCH_ACE2,5.012349962169038e-10
XCH_GLC,2.5718939131169627e-10
XCH_P,1.2615280469557844e-09
ZWF,0.004969874739826199
