ACEA,7.933588254344694e-07
ACEB,1.6624159226770422e-07
ACK,1.8094672745426295e-08
ACN_1,1.658164313567137e-09
ACN_2,1.4043273298437606e-09
ACS,3.5829389751466803e-11
ATP_MAINTENANCE,1.1382405324065893e-05
ATP_syn,2.1652391668127854e-05
CITRA_SYN,4.1841844526977625e-06
CYTBO,4.261356028236061e-05
EDA,2.550616102140772e-07
EDD,7.678179697931777e-07
ENO,9.502798054491345e-08
FBA,6.691528208306969e-08
FBP,1.4241194169109219e-09
FUMA,2.581176445796079e-10
GDH,1.337073732197198e-06
GLT,8.358491928363055e-07
GND,7.989092881992551e-07
GPM,3.757069239377149e-08
GROWTH,3.6868630766171987e-07
LPD,1.6174412429520967e-06
MAD,2.8393617588707345e-07
MDH,6.684831868612439e-07
MQO,6.389342484993781e-07
NADH_req,4.813684896038844e-06
NDHII,4.300013737402415e-06
PCK,1.9977084523092086e-08
PDH,0.00019825413117830642
PFK,2.6066456013927314e-06
PGI,3.952010321638996e-07
PGK,6.091831552073571e-11
PGL,2.7273165891177444e-09
PIT,3.457249958455312e-07
PPC,5.972855561195654e-07
PPS,4.3077147931333755e-05
PTA,2.666490537243547e-09
PYK,6.574992909484946e-07
RPE,1.1918262648438673e-08
RPI,7.87062398584832e-09
SDH,7.121026480023715e-08
SK,5.770622213852484e-12
SQR,9.73234475736657e-10
TPI,1.3712880957852491e-08
XCH_ACE1,6.787397182381021e-13
XCH_ACE2,1.7521010124932302e-12
XCH_GLC,6.453114782714164e-13
XCH_P,8.471951074768874e-12
ZWF,1.8855431640441815e-06
