ATP_syn,0.0142944477997,0.059437412279494,0.045142964479793
ATP_MAINTENANCE,0.013773809756448,0.058495904344101,0.044722094587653
ZWF,0.003174601983684,0.044722509270339,0.041547907286655
GND,0.006852850561148,0.045137436101986,0.038284585540838
EDD,0.002799903904147,0.040938488177761,0.038138584273614
PYK,0.016791213907811,0.0420816250879,0.025290411180089
PFK,0.01644167972506,0.040308856151604,0.023867176426543
CYTBO,0.000155474090616,0.020958259153375,0.020802785062759
GDH,0.011799741797455,0.030807477176928,0.019007735379473
PDH,0.007534999060705,0.020383404536912,0.012848405476207
EDA,0.00716691123023,0.01999541939573,0.0128285081655
PGI,0.018357455276137,0.027898532456519,0.009541077180382
NADH_req,0.015892190991187,0.022573516133223,0.006681325142037
NDHII,0.018226839589095,0.02118193849489,0.002955098905795
FBA,0.018999327398957,0.021169779158791,0.002170451759833
MAD,0.017632294211451,0.019415700460895,0.001783406249444
CITRA_SYN,0.017711749455729,0.019375689463167,0.001663940007439
GLT,0.018592893220515,0.0200897449443,0.001496851723785
PPC,0.01830779123214,0.019460590022833,0.001152798790694
MDH,0.018532535348412,0.019434032090068,0.000901496741656
MQO,0.018588517355349,0.019433227081664,0.000844709726315
LPD,0.018646547836395,0.019234375515301,0.000587827678907
ACEA,0.018887403931084,0.019438461144076,0.000551057212992
TPI,0.019144717566325,0.019600640866893,0.000455923300568
GROWTH,0.018854460089466,0.019278289231665,0.000423829142199
PIT,0.01897113708057,0.019198988890004,0.000227851809435
RPI,0.019169926345853,0.019293086323154,0.000123159977301
ACEB,0.019074346346228,0.019193596317987,0.000119249971759
ENO,0.019108167583886,0.019185844251982,7.76766680956262E-05
PCK,0.019164784253722,0.019239901761602,7.51175078805497E-05
RPE,0.019174056097695,0.019247199865834,7.31437681393277E-05
PGL,0.019123561920408,0.019184727794097,6.11658736889946E-05
SDH,0.019177635856354,0.019218741001004,4.11051446492991E-05
GPM,0.019149799649596,0.019181864833341,3.20651837443543E-05
ACK,0.019172408502514,0.019182467312842,1.00588103283672E-05
FBP,0.019179208274096,0.019183146861708,3.93858761153082E-06
ACN_1,0.019179687256297,0.019182790707485,3.10345118754649E-06
ACN_2,0.01917973139934,0.019182359903433,2.62850409315368E-06
PGK,0.019179847600439,0.019181443542353,1.59594191358886E-06
PTA,0.019179711806672,0.019181211334508,1.4995278360859E-06
FUMA,0.019179893878207,0.019180373728096,4.79849889604284E-07
SQR,0.019179895840879,0.019180350107515,4.54266635450257E-07
PPS,0.019179862812788,0.019180244669844,3.81857055180984E-07
SK,0.019179928161641,0.019179985838785,5.76771448726476E-08
ACS,0.019179929144885,0.019179949617194,2.0472308150804E-08
XCH_P,0.019179927766638,0.019179936632596,8.8659585575912E-09
XCH_ACE2,0.019179930658631,0.019179936751484,6.09285352032307E-09
XCH_ACE1,0.019179931857583,0.019179934125834,2.26825127777608E-09
XCH_GLC,0.01917993254706,0.019179934287104,1.74004408798334E-09
