ACEA,1.5556140653229892e-09
ACEB,3.352609144783158e-10
ACK,5.990227001176407e-07
ACN_1,2.8230753799414516e-11
ACN_2,2.3334712036694292e-11
ACS,1.646785224599577e-06
ATP_MAINTENANCE,2.462954161296526e-07
ATP_syn,1.1849210345217003e-07
CITRA_SYN,6.832191234646936e-07
CYTBO,7.834988994568757e-08
EDA,2.7612794755986637e-09
EDD,8.218138719829032e-09
ENO,2.3918663056610004e-10
FBA,8.402843444627538e-10
FBP,3.3422690587927165e-11
FUMA,4.833937635570443e-12
GDH,3.1797829167427834e-08
GLT,8.561599438950297e-08
GND,8.48306232224373e-09
GPM,9.913361369372622e-11
GROWTH,1.6922208759078142e-09
LPD,3.6518520852553792e-09
MAD,2.64113818040039e-09
MDH,1.1604414558087373e-08
MQO,1.0655917301307728e-08
NADH_req,1.9222300241567247e-08
NDHII,2.1718005598559698e-08
PCK,2.430882439267818e-09
PDH,3.7200983576405187e-09
PFK,7.306032742676956e-08
PGI,2.635112398515905e-09
PGK,2.731940634727125e-12
PGL,2.8659606712111233e-11
PIT,1.6680486488168358e-09
PPC,1.2015381063752118e-08
PPS,1.1208156864942546e-12
PTA,8.871891188939121e-08
PYK,2.0524581277652605e-08
RPE,2.4477211257809684e-11
RPI,4.864334189611876e-11
SDH,2.0416436411779094e-10
SK,4.767084931842299e-12
SQR,3.1690805497969025e-12
TPI,1.7121582428010147e-10
XCH_ACE1,9.103330701945631e-10
XCH_ACE2,9.407989870266519e-10
XCH_GLC,2.0616578194835005e-12
XCH_P,9.932644555997449e-14
ZWF,1.6629536381435237e-08
