5.988265129456418642e-41,5.333405036472203372e-41,3.363783392273775630e-24,3.933070874939701924e-05
5.688612130780966794e-03,6.854251121594965657e-04,3.769909767962124902e-02,4.184039040844268146e-05
1.146356911134184704e-02,1.450654887343160544e-03,3.082444324396398372e-01,2.150351985164672929e-03
1.735897694096376689e-02,2.329444309088687329e-03,5.601225484889161832e-01,3.195530917115107367e-02
2.339637657845288626e-02,3.342898029237507777e-03,8.373669757783326340e-01,1.536844296668932741e-01
2.961127022815642634e-02,4.525927234499793617e-03,1.200328968972343313e+00,4.777415636486812556e-01
3.605294178212246903e-02,5.927001950923337786e-03,1.682544053921120053e+00,1.141147970071388684e+00
4.279177455707831867e-02,7.615349622449977401e-03,2.320129285825801801e+00,2.277261917622622533e+00
4.993121816847532340e-02,9.692722406176723302e-03,3.193221436690497406e+00,4.002128833389349438e+00
5.762678722321786656e-02,1.231206239991376218e-02,4.512795379781944227e+00,6.576350163957917161e+00
6.612271217206386331e-02,1.571353095642143843e-02,6.631296499413949164e+00,1.039937200498254555e+01
7.584994506015649285e-02,2.032100483572918045e-02,1.001066209438078047e+01,1.503413644585902276e+01
8.762778998414734455e-02,2.694038095849151174e-02,1.634882814767397718e+01,1.992301806786100116e+01
1.032126443085419898e-01,3.729931656287779201e-02,3.569514474661853143e+01,2.491479155972416493e+01
1.274461039588110634e-01,5.616085530472059856e-02,5.271124761571791169e+02,2.978718710755212840e+01
1.787634552875586313e-01,1.016602819982790479e-01,9.336096671046996562e+03,2.908003201546934591e+01
4.383846377237472502e-01,3.520611287231519282e-01,1.886804657468676305e+04,2.700918147622906673e+01
2.011271821713061172e+02,1.977660216185950901e+02,2.306642485765656238e+04,2.604897240051339224e+01
5.591968050436001931e+02,5.499952299841465901e+02,2.309016684233677370e+04,2.604438896846595242e+01
9.180185083923882985e+02,9.029625251037688258e+02,2.309650555952095965e+04,2.604337242417743070e+01
1.276990122756591063e+03,1.256075553936978395e+03,2.309949633535735484e+04,2.604296098552781302e+01
