PGI,-1.348984243317539e-23,1.8360841624922876e-23
PFK,-1.0858686610994026e-23,6.897769960055364e-24
FBA,-2.847862823397225e-23,4.085632026505005e-23
TPI,-2.835043352753226e-23,4.069414396838527e-23
GDH,-9.646448250892715e-23,1.1286270437237544e-22
PGK,-1.3201382467281715e-18,5.845472438392231e-19
GPM,-2.3765004496112343e-19,9.84046646814188e-20
ENO,-3.7205633876250137e-19,1.541085056941231e-19
PYK,-3.105801853956645e-21,4.027594764556673e-20
ZWF,-1.8155425352915312e-23,1.357389860071321e-23
PGL,-1.802237423463752e-23,1.357263904179467e-23
GND,-1.6048601514942245e-23,1.3165975949667785e-23
RPE,-7.670129915688546e-24,6.286174079973531e-24
RPI,-7.958826348704898e-24,6.980064636589342e-24
X5P_GAP_TKT,-1.68212238171019e-23,1.879887291860137e-23
F6P_E4P_TKT,-7.398234688083712e-24,6.984677277991289e-24
S7P_R5P_TKT,-7.845866535791413e-24,6.974056108842555e-24
F6P_GAP_TAL,-1.43612648783968e-23,2.507440620649936e-23
S7P_E4P_TAL,-7.576991628859222e-24,6.971154248748407e-24
FBP,-5.4826675134467765e-30,7.865697450293454e-30
PPC,-5.1605763069709554e-23,6.690312063012026e-22
PCK,-5.709777641740463e-18,4.38653862090067e-19
PPS,-1.0518094459993857e-18,7.189299014217051e-18
MAD,-7.169884579224709e-15,4.833798977730916e-14
PDH,-3.423591211108977e-15,2.3400856897490047e-14
GLT,-4.6270506702486837e-17,3.6423016026707807e-17
ACN_1,-8.177355358411468e-15,1.3787684547064416e-15
ACN_2,-1.1306574856582551e-14,1.896428415571373e-15
ICD,-1.5824565841688557e-10,2.013216401950962e-10
LPD,-1.0386610304965747e-12,8.490191530392454e-13
SK,-2.6159365720441596e-13,2.9521701025733097e-13
SDH,-7.070024812364049e-15,4.840395285506427e-14
FUMA,-7.058174738692328e-15,4.830740000174069e-14
MQO,-9.469336302175895e-16,6.3840574030447115e-15
MDH,-9.6602156337791e-16,6.436136891143619e-15
ACEA,-8.569958767532144e-13,1.0915719411197594e-12
ACEB,-6.055196293005917e-20,4.0029528726343544e-19
ACEK_1,0.0003616025496977178,0.0003617885275379813
ACEK_2,0.00036250379254074047,0.00036269122451554705
EDD,-4.244357913348489e-25,3.476795735743744e-25
EDA,-4.212102396862623e-25,3.4819190582791444e-25
NADH_req,-8.437009159672257e-13,7.217788019740845e-13
PNT_req,-1.0328815355092889e-12,8.486158157433587e-13
ADK,-9.31057158460806e-06,-9.288633029973785e-06
ATP_syn,4.818604628773234e-06,4.824829366860622e-06
CYA,-4.9495837704766147e-29,5.809991799502967e-28
DOS,-1.4137279679933936e-08,-1.4118561968126246e-08
ACK,-3.771988814909113e-17,3.775164353628402e-17
ACS,-2.5765868107298775e-15,8.409095928280342e-17
PTA,-1.844358197044632e-18,3.4717689602878475e-17
PTS_0,7.190872971966483e-46,1.6904756924465413e-33
PTS_1,-5.535643466265493e-29,4.0832152055725825e-31
PTS_2,-1.1766732198763317e-27,8.617719295990821e-30
PTS_3,-1.3349037485831863e-25,9.773129966982223e-28
PTS_4,-2.2456366692759817e-24,2.793865658766883e-23
GLC_feed,0.002388,0.002388
CYTBO,-8.627953606539944e-13,8.308947588495799e-13
SQR,-2.1713268127943055e-14,1.44976362304039e-13
NDHII,-1.1288030295208972e-12,9.65681204445623e-13
GROWTH,-1.1705908380184114e-205,3.7749095400415494e-210
ATP_MAINTENANCE,-0.0003469226499553822,-0.0003467503757228036
XCH_GLC,5.955111510485428e-06,5.955111512581567e-06
PIT,-1.930321178057257e-05,-1.9273442836043975e-05
XCH_P,-1.9299624555940588e-05,-1.9274720360922763e-05
XCH_ACE1,-2.3235524452241563e-16,4.465886807115492e-17
_ACE_OUT,-1.862373006978522e-18,7.567766673366141e-20
XCH_ACE2,-2.3181434722325115e-16,4.453016809724544e-17
GL6P_HYDROLYSIS,-5.972243063437846e-30,4.498282723657196e-30
CITRA_SYN,-3.4185043438471668e-15,2.3022823351576792e-14
