PGI,-1.3081401085993035e-20,1.178425007178463e-22
PFK,-9.8002163771836e-23,5.392146004720388e-23
FBA,-2.7695373812979312e-21,6.586368274631429e-23
TPI,-1.1603111451797684e-22,6.3992201525902684e-21
GDH,-2.255428501319322e-22,4.068227555866094e-21
PGK,-3.677026493332359e-18,3.097644216780964e-17
GPM,-1.6459963519076113e-18,1.7699858550556457e-18
ENO,-2.5896549192432716e-18,2.7727014949628438e-18
PYK,-2.0552179830384755e-19,1.056912269460826e-20
ZWF,-6.037586998720816e-22,3.70398828029238e-23
PGL,-5.978319464896062e-22,3.706120255577421e-23
GND,-4.840884291794202e-22,3.595735763300684e-23
RPE,-1.0707489231471927e-23,1.2168639103014494e-21
RPI,-9.872547972151313e-23,2.6264212138987604e-23
X5P_GAP_TKT,-1.934817757664261e-23,3.478272627370323e-21
F6P_E4P_TKT,-9.635712408996098e-24,1.8835311031605564e-21
S7P_R5P_TKT,-8.64157075378813e-24,3.5507574069124686e-22
F6P_GAP_TAL,-2.0171969526530083e-22,7.633705306689006e-21
S7P_E4P_TAL,-7.596089485365273e-24,4.995881427308073e-22
FBP,-2.0222687778556417e-27,4.359017565690196e-29
PPC,-3.4145553980046194e-21,1.7603403869384915e-22
PCK,-2.1092922792332965e-18,2.867720876959866e-17
PPS,-4.24323704786054e-17,1.1667455002727152e-17
MAD,-2.9635742891394395e-13,8.848075548237162e-14
PDH,-1.3811876356869187e-13,3.7977937813626996e-14
GLT,-3.032635694124977e-16,1.6535816969928568e-16
ACN_1,-1.9000277460930277e-14,5.807986966929484e-14
ACN_2,-2.622154195592426e-14,8.042472056523085e-14
ICD,-7.184763149122366e-10,1.3178456351359302e-09
LPD,-7.029588593498543e-12,3.836053725843396e-12
SK,-1.4476517558501848e-13,9.840204887762684e-13
SDH,-2.975691958685737e-13,8.40907611723047e-14
FUMA,-2.962420249476759e-13,8.355366394377849e-14
MQO,-3.914034345143139e-14,1.1685738468780794e-14
MDH,-3.9257342946638135e-14,1.1974747363164344e-14
ACEA,-3.891909414011356e-12,7.138846468871254e-12
ACEB,-1.0827977092340948e-18,4.570405180186277e-20
ACEK_1,0.00036174944902953217,0.00036175944980350896
ACEK_2,0.0003626515829023681,0.0003626613496322919
EDD,-1.027075925673758e-23,1.0001106052108278e-24
EDA,-2.6452781867004346e-25,8.375361952048137e-24
NADH_req,-5.940282775245551e-12,3.239049506052432e-12
PNT_req,-7.021638587026424e-12,3.830030315191135e-12
ADK,-9.309248221394457e-06,-9.288595862384448e-06
ATP_syn,4.823513461421541e-06,4.823838077827554e-06
CYA,-3.005945467989774e-28,3.758746343282466e-24
DOS,-1.4134506614397987e-08,-1.413331646582798e-08
ACK,-2.541774342955711e-16,4.554766130490273e-16
ACS,-1.3513443283822005e-15,2.881592090666956e-17
PTA,-3.992163293454843e-16,8.828787669123287e-17
PTS_0,9.33860254738828e-46,4.403316800780423e-32
PTS_1,-7.076857886098962e-24,5.750560875402187e-26
PTS_2,-1.505499108902224e-22,1.222675543014201e-24
PTS_3,-1.7080530032107346e-20,1.3871102923771592e-22
PTS_4,-1.4416580371438535e-23,2.0980579368134677e-19
GLC_feed,0.002388,0.002388
CYTBO,-6.739898836823379e-12,3.6656659795021334e-12
SQR,-8.638846546449309e-13,2.3742368293611096e-13
NDHII,-7.947616213060949e-12,4.333585325311251e-12
GROWTH,-1.7489282577844374e-195,1.7205306978427837e-197
ATP_MAINTENANCE,-0.00034689347635668454,-0.0003468703826967194
XCH_GLC,5.955111511044839e-06,5.955111512601648e-06
PIT,-1.929891289721565e-05,-1.9292021175177345e-05
XCH_P,-1.9295760329975464e-05,-1.9294364410097857e-05
XCH_ACE1,-7.42386024615665e-17,9.628724471161162e-17
_ACE_OUT,-1.2185609710249182e-18,4.3468272799279963e-20
XCH_ACE2,-7.346722991545082e-17,9.599460174940164e-17
GL6P_HYDROLYSIS,-1.9802896119049794e-28,1.2283997267519944e-29
CITRA_SYN,-1.3286524144347073e-13,3.6349840082734774e-14
