PGI,-2.153209812429537e-21,1.084454046333904e-23
PFK,-1.3285327404149124e-23,2.604184770729919e-21
FBA,-2.0196260385753062e-21,2.3022812690702334e-23
TPI,-4.870165479582868e-21,2.283361690162707e-23
GDH,-1.5862076553990996e-22,1.9270432729050396e-20
PGK,-1.041882816928205e-18,4.4232299995651366e-16
GPM,-1.1198398772344653e-19,3.774621291858429e-19
ENO,-1.7530387302620803e-19,5.910256544850067e-19
PYK,-1.141075682187513e-19,2.424013318422624e-20
ZWF,-9.508031365160435e-24,1.775585983141346e-21
PGL,-9.526224406629512e-24,1.7749016953333247e-21
GND,-9.600981292632443e-24,1.6583427879759182e-21
RPE,-1.74370351493678e-23,1.8457637075206072e-24
RPI,-3.951089381685259e-24,1.1396362210408077e-21
X5P_GAP_TKT,-8.472243814572365e-22,7.290213046451508e-24
F6P_E4P_TKT,-1.557174748767082e-23,5.714744059497598e-22
S7P_R5P_TKT,-7.3342311232502e-24,9.643371671332099e-22
F6P_GAP_TAL,-3.030371520582826e-22,1.3957056561593414e-23
S7P_E4P_TAL,-8.394828307351531e-24,9.089051505367914e-22
FBP,-3.888185648151935e-28,4.432341806053429e-30
PPC,-1.8967588235242118e-21,4.0277766177526963e-22
PCK,-3.4387113450429267e-18,1.7493389072423918e-17
PPS,-6.335148602353813e-18,4.326355297017742e-18
MAD,-4.414330706941534e-14,2.888880503545207e-14
PDH,-2.062096146780814e-14,1.4082453221499798e-14
GLT,-3.6558942155602467e-17,2.0910789801130246e-17
ACN_1,-4.75435268822586e-15,8.315471264831796e-15
ACN_2,-6.569720535112647e-15,1.1509978201777957e-14
ICD,-9.11990024321634e-11,1.5897052548254536e-10
LPD,-8.30751810693158e-13,4.627653990024592e-13
SK,-4.731714406004943e-13,4.808714032190773e-12
SDH,-4.4402770063615995e-14,2.888200915776081e-14
FUMA,-4.423238747843583e-14,2.883747254486135e-14
MQO,-5.830066087509775e-15,3.8153809681576965e-15
MDH,-5.8553967730950865e-15,3.855521764621503e-15
ACEA,-4.953736311741809e-13,8.61702451583956e-13
ACEB,-6.795127612366461e-19,2.1494909016214367e-19
ACEK_1,0.0003616690059618,0.0003623181049551717
ACEK_2,0.000362570580087168,0.00036322399718101455
EDD,-2.74919786792648e-25,4.5803517452633966e-23
EDA,-3.2982511581819387e-25,4.3120607586027393e-23
NADH_req,-6.930770901104461e-13,3.935884737332687e-13
PNT_req,-8.268244817977165e-13,4.623951440491103e-13
ADK,-9.339461071898638e-06,-9.293247335372038e-06
ATP_syn,4.820828927511935e-06,4.842561154349583e-06
CYA,-3.083195405734531e-27,9.98744822190846e-27
DOS,-1.4189943055704194e-08,-1.4125354367310292e-08
ACK,-1.4217926252696524e-17,5.961679467305548e-17
ACS,-2.0815514920967254e-13,1.6998718878212067e-17
PTA,-9.734603377831707e-18,1.1220073988885996e-17
PTS_0,1.760599713889239e-44,1.3572455527430892e-32
PTS_1,-8.933566920735204e-29,6.483889499218825e-27
PTS_2,-1.899115965342239e-27,1.3788329841471117e-25
PTS_3,-2.154506424475463e-25,1.564293241025935e-23
PTS_4,-1.4824829145746388e-22,4.4782258113460415e-22
GLC_feed,0.002388,0.002388
CYTBO,-9.007918861949925e-13,4.5388783854836283e-13
SQR,-1.2980551994390412e-13,8.874942780678907e-14
NDHII,-9.272807223459355e-13,5.265893408823442e-13
GROWTH,-1.8831927171512663e-202,2.0076657012512758e-193
ATP_MAINTENANCE,-0.0003473928465357959,-0.0003468112554200304
XCH_GLC,5.955111511294418e-06,5.955111513199788e-06
PIT,-1.937022049546139e-05,-1.9278057604950656e-05
XCH_P,-1.93705265387116e-05,-1.9283517683361444e-05
XCH_ACE1,-5.4865407309574946e-18,1.0469115420373149e-14
_ACE_OUT,-1.8286702780441624e-16,1.5421187416803072e-20
XCH_ACE2,-5.438687934083957e-18,1.0419453847247507e-14
GL6P_HYDROLYSIS,-3.157858849193061e-30,5.882500698397759e-28
CITRA_SYN,-2.026437027129762e-14,1.3895396639600966e-14
