PGI,-1.5820340726201194e-22,6.267275887819247e-22
PFK,-7.126427095162205e-24,1.7598375987890206e-22
FBA,-1.1690413436593354e-21,9.183377686125718e-23
TPI,-3.728902575803864e-22,3.744337522966293e-23
GDH,-9.805351940772192e-23,1.418141406068846e-21
PGK,-7.798996688064448e-19,3.923800529749618e-19
GPM,-1.5835690948741256e-18,3.826970069494167e-20
ENO,-2.4710480112500812e-18,5.990649036408076e-20
PYK,-3.153915579560026e-20,3.417674075297257e-20
ZWF,-4.906793239001323e-24,1.1943156724123895e-22
PGL,-4.907292784871899e-24,1.198936478711078e-22
GND,-5.8490781035244146e-24,1.0079093600769618e-22
RPE,-5.82343329638269e-24,2.809218937200775e-22
RPI,-4.063898760930147e-24,2.3833074842565103e-23
X5P_GAP_TKT,-1.0505954137980097e-23,5.22695983294683e-22
F6P_E4P_TKT,-3.9147534192920366e-24,2.2110621263955425e-22
S7P_R5P_TKT,-4.1242267960103284e-24,6.709747670974501e-23
F6P_GAP_TAL,-1.297570791284008e-21,9.545579048585809e-24
S7P_E4P_TAL,-3.781467938712358e-24,8.343372640686195e-23
FBP,-2.250646473961812e-28,1.767991384098367e-29
PPC,-5.243071773799343e-22,5.679861903089399e-22
PCK,-5.022141172223884e-18,4.858470997780879e-18
PPS,-2.4975740817525454e-18,4.4554919232899476e-18
MAD,-1.6484920392736813e-14,2.962745538595483e-14
PDH,-8.129702230758202e-15,1.4502823936420078e-14
GLT,-3.1699476229584826e-17,5.85224095681256e-17
ACN_1,-1.326639524548305e-14,7.525963092140618e-16
ACN_2,-1.8380940086786786e-14,1.0389667571171145e-15
ICD,-2.5232694652511827e-10,1.3573472583396563e-10
LPD,-3.90215112142359e-13,1.1405714255678957e-12
SK,-7.557157520987191e-13,3.449570247766788e-13
SDH,-1.635916289297598e-14,2.957937129374002e-14
FUMA,-1.6353101568917805e-14,2.9544900751294813e-14
MQO,-2.1771862775206023e-15,3.9129408456495306e-15
MDH,-2.1870524788178965e-15,3.920340370582248e-15
ACEA,-1.1125841305807712e-12,4.18528602327121e-13
ACEB,-1.653540383149087e-19,2.6358458247421553e-19
ACEK_1,0.00036173897025363493,0.0003617748492261943
ACEK_2,0.0003626411527530616,0.0003626772267746713
EDD,-1.5794606319921597e-25,2.89614270711355e-24
EDA,-1.5924955882598065e-25,4.5394427086896184e-24
NADH_req,-3.3178791425727897e-13,9.998408759416407e-13
PNT_req,-3.897689031945317e-13,1.1435863583181271e-12
ADK,-9.318031388088668e-06,-9.290240966221509e-06
ATP_syn,4.823169323137709e-06,4.824366232370895e-06
CYA,-3.5573782411213255e-26,2.3176541590086658e-24
DOS,-1.4135978303887323e-08,-1.4132347488321621e-08
ACK,-2.0643177353342942e-17,2.6673031510059187e-17
ACS,-3.8661293621124267e-16,1.1552451455137145e-17
PTA,-7.048756339871365e-18,4.195285736716876e-17
PTS_0,2.1078566309251555e-44,1.2176475539572537e-33
PTS_1,-1.2328368985881363e-25,2.9979856859229657e-25
PTS_2,-2.6266028787592137e-24,6.374121749818285e-24
PTS_3,-2.980392323966486e-22,7.231347099816161e-22
PTS_4,-1.7110902814169303e-21,1.1094673569139147e-19
GLC_feed,0.002388,0.002388
CYTBO,-3.8032113429533715e-13,1.2361916421874356e-12
SQR,-4.4279896138643694e-14,7.55697585064219e-14
NDHII,-4.4390529446713957e-13,1.337705930748445e-12
GROWTH,-4.261388075814684e-209,3.8808008143470583e-203
ATP_MAINTENANCE,-0.0003469158397775905,-0.00034686889660559176
XCH_GLC,5.955111511277156e-06,5.9551115125952145e-06
PIT,-1.929843136822095e-05,-1.928838493935373e-05
XCH_P,-1.9297753283156333e-05,-1.9292924480996494e-05
XCH_ACE1,-3.793481076217615e-17,6.1931955584923114e-18
_ACE_OUT,-2.75940259487747e-19,3.939544945085177e-21
XCH_ACE2,-3.785373676716617e-17,6.179475732019503e-18
GL6P_HYDROLYSIS,-1.6270508225016726e-30,3.973181460471257e-29
CITRA_SYN,-8.106198030292795e-15,1.435148627856876e-14
