,V1
GLC_inflow,5.9368126109
XCH_GLC,0.2341686553
PTS_0,0.0755212478
PTS_1,1.3075697582
PTS_2,0.0494997968
PTS_3,0.9402505818
PTS_4,1.5136351803
PGI,0.2348680109
PFK,0.919816974
FBP,0.0005207456
FBA,0.0490932267
TPI,0.0118519415
GDH,3.7627243502
PGK,0.0403240034
GPM,0.0570114464
ENO,0.2129887546
PYK,0.727183144
PPS,0.0001602349
PDH,2.3396750761
ZWF,1.3622132633
PGL,0.0562765113
GND,1.1011699537
RPE,0.0183380866
RPI,0.0687369108
X5P_GAP_TKT,0.0755608138
F6P_E4P_TKT,0.0261122254
S7P_R5P_TKT,0.0093216731
F6P_GAP_TAL,0.023693449
S7P_E4P_TAL,0.3905305453
EDD,0.54324855
EDA,0.433033108
PCK,0.3427134351
PPC,0.2849253144
MAD,0.1404248728
GLT,2.2882920807
ACN_1,0.0691607848
ACN_2,0.0845227401
ICD,1.441505932
ACEK_1,1.6961606443
ACEK_2,1.6955612883
LPD,1.087544787
SK,0.0019811092
SDH,1.7220837449
FUMA,0.0313343196
MQO,3.0897485506
MDH,2.7743667313
ACEA,1.8643921022
ACEB,1.3142431094
PTA,0.2238900124
ACK,1.5650584205
ACS,1.7361759962
XCH_ACE,2.05561574159436E-07
ACE_OUT,3.93510682918461E-06
XCH_P,3.07743756202298E-05
PIT,0.532701546
NDHI,0.6755759783
NDHII,0.4210372825
PNT,0.1816642467
CYTBO,2.5591521869
SQR,0.3102002843
CYA,1.4249234486
DOS,1.4482514778
ADK,0.20978511
ATP_SYN,1.6148670776
ATP_NGAM,1.9372790689
GROWTH,1.8693775262
