"","v_PGI","v_PFK","v_FBA","v_TPI","v_GDH","v_PGK","v_GPM","v_ENO","v_PYK","v_ZWF","v_PGL","v_GND","v_RPE","v_RPI","v_X5P_GAP_TKT","v_F6P_E4P_TKT","v_S7P_R5P_TKT","v_F6P_GAP_TAL","v_S7P_E4P_TAL","v_FBP","v_PPC","v_PCK","v_PPS","v_MAD","v_PDH","v_GLT","v_ACN_1","v_ACN_2","v_ICD","v_LPD","v_SK","v_SDH","v_FUMA","v_MQO","v_MDH","v_ACEA","v_ACEB","v_ACEK_1","v_ACEK_2","v_EDD","v_EDA","v_NDHI","v_NDHII","v_NADPH_req","v_SQR","v_PNT","v_CYTBO","v_ADK","v_ATP_SYN","v_CYA","v_ATP_NGAM","v_DOS","v_ACK","v_ACS","v_PTA","v_PTS_0","v_PTS_4","v_GLC_feed","v_ACE_OUT","v_XCH_PYR","v_XCH_SUC","v_PTS_1","v_PTS_2","v_PTS_3","v_XCH_GLC","v_XCH_ACE","v_XCH_P","v_PIT","v_GROWTH"
"v_FEED",1.21251323530213,1.03463032603405,1.03412543449577,1.03412543808377,0.979020774991824,0.979020777668972,0.942148181913276,0.942148134859065,0.290799961081527,0.358170618435369,0.358170620776581,0.194254979034337,-0.706068586907594,0.798311118964527,-0.706067267791723,-1.8300840068877,-0.142094069382171,-0.142093016277196,-0.142093027988635,1.84005368546114,-0.192271901896927,-0.638708647039799,0.692857558243596,-0.210153822215188,0.563161804048478,0.508931526708789,0.508931483674052,0.508931468072552,0.823377030275653,0.712962559289739,0.712962551394301,0.424914187249301,0.424914153755825,0.213971101593495,0.19720706278932,0.096431874484703,0.09643187573594,-0.000267853329173572,-0.000267865286566621,0.780472987115235,0.780473060035914,0.494430734903315,0.505566869955089,NA,0.424914174067761,5.92925009425333,0.461254782153237,0.398796376752577,0.459473375390909,-0.0315869834979321,-0.0958549154942127,-0.0315629749242727,0.578002593727966,0.578002596123923,0.578002552357992,1.0000000001435,1.00000000000073,1.00000000000001,0.580882210109724,NA,NA,1.00000000011777,1.00000000011638,1.00000000000077,1.00000000000059,0.580798854810344,1.55773699392495,1.5577369939692,1.55774223631396
"v_XCH_GLC_P",-1.13147248616535e-07,-4.15665296576547e-08,-2.84223835942226e-08,-1.77237342954858e-08,3.32201514883934e-09,4.68049428747658e-09,6.39324603168133e-09,9.35981049543391e-09,-1.37355241628059e-07,2.97680913508225e-07,2.98110071685059e-07,3.51949943049463e-07,5.79138871830511e-07,2.4407686244001e-07,6.71863737051926e-07,1.01819853559842e-06,4.94462861549964e-07,4.76873635102334e-07,4.77681654003122e-07,9.09611719836374e-08,1.30755957212094e-06,6.86866440806817e-07,-3.55879850177407e-07,9.42946149574456e-07,-2.59805076144109e-09,-4.98866865729538e-08,-6.72403384349592e-08,-7.34434077375018e-08,-2.04571308405165e-07,-2.70571894295879e-07,-2.6844109669429e-07,-1.16306977105937e-07,-1.14684650577966e-07,-5.36253429920215e-08,-4.44127812659994e-08,5.17048964496965e-08,5.04057329366942e-08,-2.1767675140061e-09,-2.78891791337203e-09,2.22509377728176e-07,2.07488157955814e-07,-2.33280123850037e-08,-1.69173372676313e-08,NA,-1.15537141815695e-07,2.37424967192929e-07,-5.73691551558307e-08,2.56580914202492e-07,-4.83305838613612e-08,-2.99263233630129e-07,-2.11981205561123e-07,1.32341026379446e-06,-5.31954465504646e-08,-5.54993528684576e-08,-4.61150250038589e-08,-6.26431274003684e-11,-3.25826322444341e-13,0,0.000682717687454183,NA,NA,-5.21322115911293e-11,-5.17581147023964e-11,-3.49961605588366e-13,-2.7755575615629e-13,0.000546759700997294,-2.75739750960608e-07,-2.75455895878885e-07,6.26418019011973e-08
"v_PTS_0_kF",-3.47398356631626e-06,-1.57203688265522e-06,-1.56538969733194e-06,-1.55856773620361e-06,-8.65495187322986e-07,-8.64951767085443e-07,-1.0386127739731e-06,-1.03670383675964e-06,-7.15635165013336e-06,9.85688811932798e-06,9.85704514850782e-06,1.13437866410173e-05,1.75740807942195e-05,7.17356768048787e-06,1.75939262866427e-05,2.53682967788966e-05,1.36899617378411e-05,1.36512460192207e-05,1.36521695916763e-05,1.42802305186863e-06,3.94881326320138e-05,2.16659071942121e-05,-1.17695908871057e-05,3.93200967105972e-05,-6.43831754211526e-07,-2.55124009296701e-06,-2.55925780530279e-06,-2.56210699866366e-06,-6.23267626287771e-06,-7.46137830749891e-06,-7.4597521724942e-06,-2.92868839990354e-06,-2.92697968208199e-06,-1.8953371916696e-06,-1.60708742699915e-06,2.23164719970579e-06,2.23095487756755e-06,-1.14281913225489e-07,-1.14313107292878e-07,6.04997922024149e-06,6.0388012748215e-06,-9.5982857898595e-07,-6.73846393351752e-07,NA,-2.92760979326816e-06,5.5525370046281e-06,-1.85103109395907e-06,1.27778187713333e-05,-1.69074760582409e-06,5.11923658976471e-05,-7.74583523474004e-06,5.14534776677475e-05,-3.28539771447294e-06,-3.28678601899902e-06,-3.27947056054891e-06,-5.30976229168987e-11,-7.24058494320757e-13,0,0.000407886231494791,NA,NA,-3.8507844256318e-11,-3.59495042430494e-11,-5.55111512312581e-13,-2.05149906724214e-13,0.000326301511397316,1.87630473395254e-06,1.87652604264155e-06,1.91460536280058e-06
"v_PTS_1_k1",-0.000394943959983457,-0.000178522922060622,-0.000178732258324789,-0.000178730298872972,-9.96605640842882e-05,-9.96651477429428e-05,-0.000119830711467777,-0.000119782326002731,-0.000819426141790413,0.00112351783275797,0.00112351482662556,0.00129238784930213,0.00200092389452004,0.000816279989775719,0.00199935139244856,0.00288218794774919,0.00155634448616178,0.00155507535083171,0.00155509050558575,0.000160986961021131,0.00449687780947838,0.0024683769481269,-0.0013420516366898,0.00449083704059289,-7.42301767862085e-05,-0.000292100326778635,-0.000292042935425748,-0.000292022078695526,-0.000709148331326881,-0.000848326716652451,-0.00084831523128305,-0.000332639987493641,-0.000332600611481953,-0.000216206614159995,-0.000183357983412627,0.000255337375071536,0.000255336508543868,-1.30681421160032e-05,-1.30537520228528e-05,0.00068801676537352,0.000687924680263137,-0.000109558455916396,-7.68849641473691e-05,NA,-0.000332621918053224,0.000629567470465299,-0.000210918810514563,0.00146211472359668,-0.000192782298660416,0.0059022529776775,-0.000883991357599248,0.00587318305908058,-0.000376187451145997,-0.000376186591310323,-0.000376132031277455,-2.197638206681e-10,-9.6541132576101e-13,0,-0.000589452356988756,NA,NA,-1.84103939822747e-10,-1.79711318290531e-10,-1.02574953362107e-12,-1.12229066619717e-12,-0.000538378001481115,0.000224552373619994,0.000224553220538651,0.000218224575079924
"v_PTS_2_k1",-2.18175135787617e-05,-9.78000824065993e-06,-9.7832501658395e-06,-9.77651521272555e-06,-5.39761222692538e-06,-5.39809884319805e-06,-6.53472073977879e-06,-6.54675842578136e-06,-4.52900840158653e-05,6.21896432625472e-05,6.21898776860726e-05,7.15182010939345e-05,0.000110848374096205,4.52262565950928e-05,0.000111058778876137,0.000160364594009153,8.63233607515325e-05,8.64633295438963e-05,8.64626268667717e-05,9.12250451507856e-06,0.000249133880619399,0.000136736022722898,-7.43541016117759e-05,0.000248017118708164,-4.1137789804024e-06,-1.61803979315865e-05,-1.61852707912298e-05,-1.61869868365624e-05,-3.92982909348312e-05,-4.70176610072152e-05,-4.70167392533177e-05,-1.84519262286176e-05,-1.84570431458034e-05,-1.19622797148164e-05,-1.01409200985851e-05,1.41182512614163e-05,1.41186755614804e-05,-7.18990856314288e-07,-7.20889365517907e-07,3.81892283783501e-05,3.8192401335278e-05,-6.04474846365401e-06,-4.24189445673668e-06,NA,-1.8452006128424e-05,3.50622117332931e-05,-1.16750868438562e-05,8.06462254471614e-05,-1.06597107530094e-05,0.0003208782438496,-4.88866395864003e-05,0.000324517683133089,-2.07701206248473e-05,-2.07713523451627e-05,-2.0769988262141e-05,-2.88416633571336e-11,-1.08608774148114e-13,0,0.000343195721838741,NA,NA,-2.31336688935636e-11,-2.29647219115552e-11,-1.44811698864151e-13,-1.32744057292139e-13,0.000270845848319337,1.15335681546758e-05,1.15336860282648e-05,1.20939271084773e-05
"v_PTS_3_k1",-1.43029267079733e-08,-2.15200482752476e-09,-2.0462371207111e-09,-1.94952153368245e-09,1.59830578773139e-09,1.62710099888106e-09,1.30899314883131e-10,-3.90036462018508e-10,-3.0182490496428e-08,4.74826476085859e-08,4.75083861873809e-08,5.39155166573229e-08,8.94694009769281e-08,3.66499042196881e-08,1.03723553039071e-07,1.63443447584479e-07,7.41296325375761e-08,8.50677085776775e-08,8.49487672490882e-08,1.68171901988185e-08,2.03237230791144e-07,1.09341030905072e-07,-5.99538633249625e-08,1.59235733924415e-07,-2.95412046138191e-09,-1.21002320191899e-08,-1.26172004402787e-08,-1.2802573856158e-08,-3.14244708899243e-08,-3.94475899240612e-08,-3.9537736708745e-08,-1.65355723497635e-08,-1.68905518750363e-08,-8.87251947423837e-09,-7.32016779800102e-09,1.01952608264611e-08,1.02052815398575e-08,-3.27950410049936e-10,-4.62921600031735e-10,3.45196890762613e-08,3.5158184151048e-08,-3.5654160981703e-09,-2.49138516754732e-09,NA,-1.66643439769004e-08,3.60304401679333e-08,-8.98339476155056e-09,4.71145292075494e-08,-7.58357670171953e-09,-4.95576861051494e-08,-3.51745733772471e-08,2.17483300155173e-07,-1.21340443755031e-08,-1.21635765725915e-08,-1.2500476097726e-08,9.89546608905839e-13,8.44734910040883e-14,0,8.70100158149473e-06,NA,NA,9.0507311790155e-13,1.78601095265905e-12,-1.20676415720126e-14,7.24058494320757e-14,7.21216004880566e-06,-3.76535374210914e-08,-3.88628486434371e-08,1.01215284498992e-08
"v_PTS_4_kF",1.66457206767359e-08,2.74666806797609e-09,2.76592107852988e-09,2.76287610530138e-09,-1.344610541352e-09,-1.34692674008231e-09,4.42566522957953e-10,1.10448483120838e-09,3.86505646722985e-08,-5.50998434137275e-08,-5.51229844126153e-08,-6.26728147088222e-08,-1.04150848956665e-07,-4.16478791684278e-08,-1.18883452061534e-07,-1.87000441046074e-07,-8.51404799575737e-08,-9.71571564994651e-08,-9.70223275897887e-08,-2.09400660693889e-08,-2.28547816950981e-07,-1.19046931801216e-07,6.58528261212555e-08,-2.06718634113778e-07,3.53900401267635e-09,1.42954441823915e-08,1.48261825690297e-08,1.50187045957797e-08,3.7435529306801e-08,4.65570181621857e-08,4.66150611068575e-08,1.90762923350952e-08,1.94958497123854e-08,1.07420890836489e-08,8.84589245689035e-09,-1.29087906224836e-08,-1.29272304359195e-08,4.15819435173067e-10,6.02526830516868e-10,-3.87737069559451e-08,-3.93749579012562e-08,3.9034290980154e-09,2.40425918719919e-09,NA,1.92087193121842e-08,-3.6726799655621e-08,1.04155489543476e-08,-5.95526448581254e-08,9.08940625474157e-09,6.41017886490637e-08,4.05510545276449e-08,-2.74595940765442e-07,1.77241298591637e-08,1.77546832643115e-08,1.8081986209071e-08,-1.27917000663438e-12,0,0,-9.01455118803508e-06,NA,NA,-1.72567274479896e-12,-1.07402009990983e-12,0,7.24058494320757e-14,-7.1146984265245e-06,2.31714076437486e-09,2.32876432363402e-09,-1.0412582362226e-08
"v_PGI_Vmax",0.0227394532761152,0.00983834803634357,0.00985573238530649,0.00985575065825209,0.00417362329299787,0.00417362843921056,0.00396065423292592,0.00396060717268654,-0.0126015208949807,-0.0658300182009581,-0.0658300149428416,-0.0683492068071143,-0.11844231601941,-0.0347394079316591,-0.118440700515222,-0.180978245540865,-0.0870625752427277,-0.0870614150390811,-0.0870614271788073,-0.0178585777867892,-0.0112347095073763,-0.0386162663971135,0.0020843692106077,0.0171866812493755,-0.00761587906281824,-0.00304840022665112,-0.00304847289895383,-0.00304849912779525,0.015348876297921,0.0165265009430172,0.0165264946530428,-0.00389495365880602,-0.00389498867052983,-0.000395090458097594,0.00109665034119778,-0.0271829489991402,-0.027182949481746,-3.85454641284158e-05,-3.85595285401965e-05,-0.0593392642581773,-0.0593392020042845,-0.00594202370785353,-0.00615730613748181,NA,-0.00389496767907376,0.135170024465226,-0.00725885848806664,-0.00321409766442216,-0.00709693573521684,-0.00321612244548262,-0.0117989643865693,-0.00318715224896364,-0.00322829301708449,-0.0032282977003565,-0.00322833070746199,7.79207616305488e-11,3.49961605588366e-13,0,-0.00173621301046911,NA,NA,6.26431274003593e-11,6.21845570206222e-11,3.86164530304404e-13,2.7755575615629e-13,-0.0020089764200815,0.00750842470005767,0.00750842418336889,0.00751494981366694
"v_PFK_Vmax",0.0503771812609407,0.0233396605328555,0.0232719808095274,0.0232719772664115,0.0120888757873362,0.0120888728281299,0.0138657930332036,0.013865845162669,-0.00802591046011676,-0.144072035423754,-0.144072038022499,-0.156168317376594,-0.248856428962587,-0.0939816163443348,-0.248857905221508,-0.364576938787059,-0.190796151822628,-0.190797329753325,-0.190797316620613,0.13129815887139,0.0321929455756992,-0.0352823928683658,-0.0432570123101092,-0.0441073376082065,-0.0088786376807003,0.0250182254079709,0.0250182727019913,0.02501828985332,0.107453550152944,0.125985141509507,0.125985150417395,0.0282882185243965,0.0282882558037843,0.017943275343923,0.0204730423682008,-0.0831227183253107,-0.0831227197543876,0.000126496565548325,0.000126509851587618,-0.112908303049603,-0.112908384799309,0.0180223116965433,0.018674314502274,NA,0.0282882332628514,-0.0632904191895924,0.0152605214814596,0.00327548514320657,0.0161019124507295,0.0108110513185117,0.0467113100748051,0.010784357457504,0.000181557621745095,0.000181559218776626,0.000181604050243548,-1.60222077151742e-10,-7.3612613589277e-13,0,-0.00068498047044805,NA,NA,-1.32816463141659e-10,-1.30113311429526e-10,-8.93005476328934e-13,-8.44734910040883e-13,-0.000598121975939464,-0.0157929299356126,-0.0157929299822932,-0.0157987504219216
"v_FBP_Vmax",-2.03182996509079e-05,0.000617427763737684,-8.99377646047502e-06,-8.99393107595625e-06,-4.37441905075032e-06,-4.37455401943191e-06,-4.73494081424768e-06,-4.73198354088968e-06,1.25704525552392e-05,5.83397181348497e-05,5.83395814720768e-05,6.34985200778544e-05,0.000104487329433812,3.59610100078499e-05,0.000104407601528817,0.000155493240881683,7.87732254852171e-05,7.87092783863138e-05,7.87099955390356e-05,0.999902286375307,-8.84442332058538e-05,-2.98444720379112e-05,4.59714119371291e-05,5.98215182577068e-05,1.04268413332111e-05,-5.27292954698722e-06,-5.27034319537702e-06,-5.269405978891e-06,-4.90086312961192e-05,-5.65725207460002e-05,-5.65720776782016e-05,-5.79037274836795e-06,-5.78831175225269e-06,-5.4139659878088e-06,-7.05106416319347e-06,5.21162716912821e-05,5.21161888613168e-05,-1.95635997968197e-07,-1.94869730795258e-07,4.50292550099309e-05,4.50250073522504e-05,-3.06152182588186e-06,-3.87188065602318e-06,NA,-5.78959150955023e-06,1.15883867148381e-05,-1.32523482754742e-06,2.09845115563862e-05,-1.72025704787628e-06,-1.65918256825085e-05,-9.6442282304037e-05,-1.80985717216409e-05,3.71958441493196e-05,3.71959360258136e-05,3.71982662583057e-05,-8.48355202513177e-12,-3.62029247160379e-14,0,1.09585587485852e-05,NA,NA,-7.56641126565696e-12,-7.19231437692428e-12,-4.82705662880505e-14,-7.24058494320757e-14,1.61786292986722e-05,1.64111494636849e-06,1.64097890947547e-06,1.36674806624601e-06
