"","ACCOA","ACEx","ACO","ACP","ADP","AKG","AMP","ASP","ATP","BPG","CAMP","CIT","COA","CYS","DAP","E4P","ei","eiia","eiiaP","eiicb","eiicbP","eiP","F6P","FDP","FUM","G6P","GAP","GL6P","GLCx","GLX","HCO3","hpr","hprP","icd","icdP","ICIT","KDPG","MAL","MG","MN","NAD","NADH","NADP","NADPH","OAA","P","PEP","PGA2","PGA3","PGN","PYR","PYRx","Q","QH2","R5P","RU5P","S7P","SUC","SUCCOA","SUCx","tal","talC3","tkt","tktC2","X5P","Px","Pp","GLCp","ACEp","ACE","Hc","Hp","FAD","FADH2","O2","FEED"
"v_FEED",0.595888832632699,0.580465104637528,1.22773017875481,0.520276734465496,0.0799555201232119,0.627958935764783,0.237914553903666,0,-0.0245391976765935,-0.200077723032098,-0.0314822749994306,1.24161895565507,0,0,1.03387681428374,0.73185707073064,1.29613681096785,1.08734309358743,-0.0321336919838189,1.02790271147948,-0.141577128708553,-0.0678442809410657,0.129275665500951,2.06683605113692,0.802614249624619,0.331490452563886,1.02593039781484,1.24217189208897,1.28473979272041,0.0899494170106207,0,1.08260488200103,-0.0394237632107148,0.026257283691214,-0.000276923229859512,1.21486386794707,1.7126739068135,0.798124790101416,0,0,-0.0689880727082981,0.614544044643644,0.0578300004937849,-0.108855451927661,-0.405348488139502,-0.0617137145079838,-0.296176124184381,-0.175566829350979,-0.135818756061459,1.28231160409481,0.643321497506635,NA,-0.371940258492961,0.179993703543882,0.229690870291116,0.266873341417101,-0.418139002634443,0.856833223981347,0.815179547122793,NA,0.870343153794452,-0.0423055314035526,0.52167151970624,-0.128464905212128,0.278865883661638,0,-4.77688996767288e-05,1.3718019876456,0.580465104687237,0.580465105845857,0,0.0586164487433205,-0.563952538945452,0.191924935134895,0,1.00000000000001
"v_XCH_GLC_P",-3.88101320298075e-08,-4.55874776372549e-08,-7.65362612371373e-07,3.70148145014531e-07,-6.66291545469803e-07,-2.36334276252879e-07,-7.08788374900647e-07,0,-2.68130696620915e-07,1.27631975205487e-07,1.32280168158776e-06,-7.57104192468802e-07,0,0,2.52398664304057e-09,1.04343343823486e-07,1.36096615270055e-07,1.42558396627701e-08,-4.21200932739245e-10,1.5167478209788e-09,-2.08899798840559e-10,-7.12388706199070e-09,3.39584103202397e-07,1.82928163217902e-09,-2.15505840658854e-07,3.03729683034714e-07,2.66372536149592e-09,2.87961160985482e-07,-0.234168655242017,7.32544292884817e-08,0,1.48685625594161e-08,-5.41563005724271e-10,2.49391629511603e-07,-2.63017542573905e-09,-7.72633260988977e-07,9.35395452732876e-08,-2.14281552305779e-07,0,0,6.13171038760588e-09,-5.46191450994351e-08,3.54739161185664e-08,-6.677312007504e-08,-3.46585842774632e-07,3.64477991374851e-07,-2.82133843415603e-07,-2.78564021529585e-07,-2.7672163115359e-07,2.80751825058373e-07,-4.19727077209898e-09,NA,4.01227950662045e-08,-1.94165218062768e-08,2.99034961602853e-07,2.98304846506476e-07,5.49779288939941e-07,-1.90508407165459e-07,-1.57343229489647e-07,NA,-3.27510468326538e-07,1.59195758451209e-08,-2.02305575347114e-07,4.98190066204733e-08,2.92228898642737e-07,0,8.45571784703858e-12,2.50636885694673e-10,-4.55060352542132e-08,-4.36094809272517e-08,0,3.37435359688485e-08,7.69850627488979e-08,-2.61998923966359e-08,0,0
"v_PTS_0_kF",-2.08417503327783e-06,-2.88185356388431e-06,-2.51777707108299e-05,1.08771711817756e-05,-2.44202630918208e-05,-6.51965832517421e-06,-2.40234963213675e-05,0,-1.10264904791422e-05,2.41137064046687e-06,5.14308747187099e-05,-2.49295961992341e-05,0,0,-9.4438799442088e-07,2.91704049300218e-06,-0.0745595856437135,-0.00783694273400981,0.000231601143658549,-0.000834036448004093,0.000114875157152164,0.00390270643677769,1.16764782091226e-05,-1.9930044754774e-06,-7.61214172086688e-06,1.04802618382978e-05,-9.32303947579933e-07,7.72656275730642e-06,-0.000105717570239233,3.28553840933594e-06,0,-0.00817244203822333,0.000297604809587881,1.03057351109833e-05,-1.08689766392447e-07,-2.54075006439226e-05,1.38399782208756e-06,-7.60461098739296e-06,0,0,1.93685685413347e-07,-1.72534682017873e-06,1.01709742133337e-06,-1.91451839027236e-06,-1.36078351695473e-05,1.14257781971346e-05,-1.11675491302433e-05,-1.12026308954802e-05,-1.11818341801256e-05,7.38444188017143e-06,-7.59817387385649e-07,NA,1.23225192373378e-06,-5.96325816298484e-07,9.47885150298808e-06,9.42258568887221e-06,1.86188661582689e-05,-5.08511263669458e-06,-3.13197310468644e-06,NA,-1.22138105787432e-05,5.93687293959751e-07,-7.35223592184712e-06,1.81053446960995e-06,9.24090344414285e-06,0,-5.75379624087352e-11,-0.000138041832334461,-2.88180453458948e-06,-2.88066351834324e-06,0,1.50530047921245e-06,2.22054514425712e-06,-7.55698447780797e-07,0,0
"v_PTS_1_k1",-0.000238717435425345,-0.000329947560907005,-0.00286842211157233,0.00123836425557165,-0.00278616268060283,-0.000741261408755836,-0.0027388061409626,0,-0.00125917115855221,0.000272469164352751,0.00587060404300349,-0.00284018052988619,0,0,-0.000108708524004371,0.000331798992206103,0.000501055426070995,-0.901894096322046,0.0266532130146502,-0.0959829884389517,0.013220118748799,-2.62269728960825e-05,0.00133142414000159,-0.000229284043365965,-0.000868335675651034,0.00119518037020546,-0.000107322845075028,0.000878583244101563,-0.0121662506860041,0.000376068618537124,0,-0.940503800339897,0.0342490595964174,0.00117690952006092,-1.24123116034102e-05,-0.00289458587920589,0.000155949058933767,-0.000867517527285895,0,0,2.2063960760911e-05,-0.000196545217296665,0.000115706903220036,-0.000217799189632501,-0.00155392243689383,0.001301929226933,-0.00127539934341975,-0.00127957945075535,-0.00127725333977776,0.000839464839645644,-8.75462305034774e-05,NA,0.000140342662032526,-6.79162713856259e-05,0.00108011735131413,0.00107363981832009,0.0021229860097148,-0.000578072048068208,-0.000354699728906679,NA,-0.00139365528778658,6.77426223714003e-05,-0.000838852160824192,0.000206572640430124,0.00105296004729914,0,-6.88602751905986e-09,-0.015886210156783,-0.000329947591951094,-0.000329948312793825,0,0.000171980723769429,0.000252713584239747,-8.60037589689067e-05,0,0
"v_PTS_2_k1",-1.32319466079568e-05,-1.82179408923875e-05,-0.000158749747670673,6.85921062276719e-05,-0.000154049570628624,-4.1083533340624e-05,-0.000151561926788294,0,-6.95337689940474e-05,1.51665090258917e-05,0.000324375112491553,-0.000157188267670381,0,0,-5.89206735528572e-06,1.84166960006171e-05,2.76869872972414e-05,-0.0491801367092868,0.00145339532105516,-0.00523393234753016,0.000720890318937433,-1.44923267550756e-06,7.36545651971498e-05,-1.24408877490875e-05,-4.80429242198903e-05,6.61243360185937e-05,-5.81626144548816e-06,4.87791558359727e-05,-0.000663422598044388,2.07970898927784e-05,0,3.03473570952175e-06,-1.10511939966606e-07,6.49889389239539e-05,-6.85407887536566e-07,-0.00016019616943765,8.78054745617918e-06,-4.79959087455691e-05,0,0,1.22145426775518e-06,-1.08806858298621e-05,6.41663321379426e-06,-1.20782558168358e-05,-8.59079204853368e-05,7.21300341639334e-05,-7.05207989439961e-05,-7.07423563287443e-05,-7.06100458507337e-05,4.662227599473e-05,-4.85146758523505e-06,NA,7.77296877397634e-06,-3.76158690467579e-06,5.98513857332573e-05,5.94924136474894e-05,0.000117497182286042,-3.20506455855192e-05,-1.97585132632847e-05,NA,-7.69862954566924e-05,3.74214028358501e-06,-4.63696661792534e-05,1.14188230714523e-05,5.83468871635936e-05,0,-3.5368349229945e-10,-0.000866271054822285,-1.82178978385906e-05,-1.82168939172153e-05,0,9.48953177992819e-06,1.40035463292823e-05,-4.76570200589624e-06,0,0
"v_PTS_3_k1",-1.01467378633579e-08,-1.05274173067206e-08,-1.19014610889319e-07,5.57947868087967e-08,-1.08629614869914e-07,-3.44611909548347e-08,-1.13617079786455e-07,0,-4.44737916826054e-08,1.62670437079385e-08,2.17384142034488e-07,-1.17876644753785e-07,0,0,1.52597433370828e-09,1.64920875792964e-08,1.93400505385279e-08,2.03348264621013e-09,-6.01468093674104e-11,-0.912206367117194,0.125641811042688,-1.01230385809995e-09,5.41916312706506e-08,2.56655302256343e-09,-3.56304106041624e-08,4.90332385189556e-08,1.54156776839357e-09,4.47644990996325e-08,-0.115626868083573,1.50777629726466e-08,0,2.12068434163887e-09,-7.70263320327063e-11,4.14446972408091e-08,-4.37054549257764e-10,-1.20057444407398e-07,1.44623440565814e-08,-3.54937921284562e-08,0,0,9.46874614183801e-10,-8.43562895087979e-09,5.444641727195e-09,-1.02489526629225e-08,-6.00313240230838e-08,5.85774266517046e-08,-4.96207731848039e-08,-4.92481435209e-08,-4.89635309729351e-08,4.35447169098373e-08,-3.49864734627132e-09,NA,6.22721850898782e-09,-3.01369708143834e-09,4.88673601938736e-08,4.85711607573799e-08,8.91186081417152e-08,-2.77797778527377e-08,-2.22784500369427e-08,NA,-5.1307055637125e-08,2.4939951716179e-09,-3.24290615344221e-08,7.98594761462939e-09,4.76505836762889e-08,0,1.15466735306199e-12,-0.150981002577847,-1.05263415437542e-08,-1.05021429839395e-08,0,5.6533275431861e-09,1.16547349126254e-08,-3.9665007370321e-09,0,0
"v_PTS_4_kF",1.16460475192351e-08,1.56287991051878e-08,1.44440969522436e-07,-6.0974487332505e-08,1.32393857974174e-07,4.0665685606927e-08,1.34274566779944e-07,0,5.79238956560862e-08,-1.40861783481962e-08,-2.74473491191759e-07,1.43026989475597e-07,0,0,-1.24018751963792e-09,-1.93875101950162e-08,-2.47113625920059e-08,-2.5991552825705e-09,7.68035597242004e-11,-2.76603867113972e-10,3.83054164199798e-11,1.29353335557008e-09,-6.42376671939753e-08,-1.8869175852706e-09,4.32075967628987e-08,-5.81106789498853e-08,-1.26211494031657e-09,-5.02983700285931e-08,-0.92031547967186,-1.90070345365489e-08,0,-2.71026812764212e-09,9.87978751635463e-11,-5.42154621878484e-08,5.71942601345803e-10,1.45739084519094e-07,-1.56119092970954e-08,4.30732701615248e-08,0,0,-1.05354410662944e-09,9.38452444845765e-09,-5.87894432364493e-09,1.1066066666292e-08,7.66246637607736e-08,-6.40483629846002e-08,6.24297314047626e-08,6.20378601550129e-08,6.17043117304248e-08,-4.87749865079162e-08,4.17418914550565e-09,NA,-7.02056186430306e-09,3.39734929017551e-09,-5.72234027944801e-08,-5.68095246616655e-08,-1.04988908613224e-07,3.20538042592261e-08,2.17236554773013e-08,NA,6.13148428273286e-08,-2.98050473995239e-09,3.84674806058703e-08,-9.47284760333178e-09,-5.57398406640427e-08,0,-7.10564524961225e-14,-1.20171164463541,1.56277370985589e-08,1.56026534017852e-08,0,-7.89116659636224e-09,-1.32371004396001e-08,4.50487915157097e-09,0,0
"v_PGI_Vmax",-0.00747522201809181,-0.00310332117607895,-0.00657434912451944,-0.020942159947855,0.0130268458215424,0.0142969300025866,0.0230639464854497,0,-0.00356056677936562,0.0428296724516082,-0.00317929088218801,-0.00667058750523585,0,0,0.00447460742069421,0.0246941010905935,-0.0448825986317312,-0.00471760032751993,0.000139416819352836,-0.000502064483149011,6.91513380833548e-05,0.00234931035456134,0.0457622191446885,0.00957902942239433,0.000710543778755201,-0.119965583450837,0.00439792992155305,-0.077782745332155,-6.36387494164821e-05,-0.0377737317505644,0,-0.00491956067870768,0.000179149011998437,0.00384556454940474,-4.05573615525549e-05,-0.00648519402296518,-0.0306519247236265,0.000842287568067695,0,0,0.00102736602531581,-0.00915175113212971,0.0110118640807791,-0.02072802059203,0.054905597076801,-0.0116453850591532,0.0598626988020745,0.0598506300891308,0.0596741964456636,-0.0760978814052023,-0.00871977794989124,NA,0.00588481539610864,-0.0028478490660771,0.0143321124292569,0.01197994140695,0.0323086560567133,-0.00913263890489297,-0.0140352253862295,NA,-0.0381829061352327,0.00185598993638955,-0.0136276999518859,0.00335590714948565,0.0137532705590492,0,-2.30250156236969e-07,-8.30969683681205e-05,-0.00310332101308483,-0.00310331721558282,0,-0.00113316368753536,0.00826757506449747,-0.00281363004586541,0,0
"v_PFK_Vmax",0.0180354906229755,-0.000251797313637875,0.254462418094646,0.0569026881104262,-0.042419740656237,0.109996953250334,-0.0766822122702128,0,0.0115633097693834,0.291739194830442,0.0107581640096288,0.251896880984358,0,0,0.0128938180343813,-0.0474186367089424,-0.137320509806467,-0.0144337328695675,0.000426552694279095,-0.00153609127580749,0.000211571961178307,0.00718783014845625,-0.179378181415517,0.0279124312647175,0.0748704777926949,-0.160828469009473,0.0127131713667279,-0.146118331149329,-0.000194705925203947,-0.118580628879855,0,-0.0150516405351041,0.000548115311529753,-0.0124904164380145,0.000131730551530638,0.256839084231599,-0.0489465705882169,0.0748123142733976,0,0,-0.00238114166554761,0.0212111510388587,-0.012239895196831,0.0230395869247826,0.155613481196557,0.0328984920888134,0.23985894440654,0.239559440120723,0.238771502297027,-0.142780926213421,-0.00940828776901431,NA,-0.0125288345639764,0.00606310094953685,-0.143182494383796,-0.141593236869455,-0.280615143234414,0.0496410886873653,0.070946711487683,NA,0.185820134231885,-0.00903232189492003,0.110430550642948,-0.0271942202804985,-0.139079901981357,0,4.84299267872578e-07,-0.000254239315243315,-0.000251797365220233,-0.000251798568500228,0,0.00343189419101852,-0.0222347780724618,0.00756696360881196,0,0
"v_FBP_Vmax",-1.76081689245967e-06,3.79498213352389e-05,-0.000117692529403448,-4.57415058802915e-05,6.46878523083987e-05,-4.93236584763638e-05,0.000122566177764818,0,-1.74490444890947e-05,-0.000228153222673226,-1.80564471188874e-05,-0.000116079622526039,0,0,-4.65692123036348e-06,2.3201940574701e-05,9.43105695283106e-05,9.91295551358892e-06,-2.92952595248042e-07,1.05497346728002e-06,-1.45305608506783e-07,-4.93654132319252e-06,8.19858339736702e-05,-1.05482935345819e-05,-2.3627798232227e-05,7.34316553477002e-05,-4.58704934296841e-06,5.98440435875591e-05,1.33722123670472e-07,7.36697297865452e-05,0,1.03373293709421e-05,-3.76440602205845e-07,1.88602078542677e-05,-1.98909915794869e-07,-0.000119186754546228,2.62754727353395e-05,-2.3709184502894e-05,0,0,3.67141212927073e-07,-3.27048480519503e-06,1.98445307251825e-06,-3.73540679059018e-06,-7.10661696916486e-05,-3.47505572381446e-05,-0.000147984452702013,-0.000147320514738785,-0.000146679988810975,5.83944019012237e-05,1.15629792622432e-05,NA,1.68147434727692e-06,-8.13718739778625e-07,6.44699990733422e-05,6.34305417441841e-05,0.000125581825451742,-1.00237173857057e-05,-5.74990853638189e-05,NA,-8.36330767052455e-05,4.06522607574654e-06,-4.90532352215692e-05,1.20796689892103e-05,6.24042101598676e-05,0,-5.03257324803788e-11,1.74609094925311e-07,3.79498180925897e-05,3.79497431172685e-05,0,-4.26541803001259e-06,3.44588761822204e-06,-1.17270831757158e-06,0,0
