Reaction,minimum,maximum
EX_adn_LPAREN_e_RPAREN_,0,2.28899340318623E-10
EX_adocbl_LPAREN_e_RPAREN_,6.35761034590804E-19,2.25966858983767E-10
EX_ag_LPAREN_e_RPAREN_,0,0
EX_agm_LPAREN_e_RPAREN_,0,3.1792126444941E-10
EX_akg_LPAREN_e_RPAREN_,0,4.49995284448865E-10
EX_ala_DASH_B_LPAREN_e_RPAREN_,0,0
EX_ala_DASH_D_LPAREN_e_RPAREN_,0,6.65181687509175E-10
EX_ala_DASH_L_LPAREN_e_RPAREN_,0,6.65170298066546E-10
EX_alaala_LPAREN_e_RPAREN_,0,3.2713293347535E-10
EX_all_DASH_D_LPAREN_e_RPAREN_,0,3.38752829503807E-10
EX_alltn_LPAREN_e_RPAREN_,0,7.8375703843614E-10
EX_amp_LPAREN_e_RPAREN_,0,2.31029155779565E-10
EX_anhgm_LPAREN_e_RPAREN_,0,1.04083447786106E-10
EX_arab_DASH_L_LPAREN_e_RPAREN_,0,0
EX_arbt_LPAREN_e_RPAREN_,0,0
EX_arbtn_LPAREN_e_RPAREN_,0,0
EX_arbtn_DASH_fe3_LPAREN_e_RPAREN_,0,0
EX_arg_DASH_L_LPAREN_e_RPAREN_,0,-1.51035315701937E-11
EX_ascb_DASH_L_LPAREN_e_RPAREN_,0,-1.89049886856196E-11
EX_asn_DASH_L_LPAREN_e_RPAREN_,0,-2.96662410506143E-11
EX_aso3_LPAREN_e_RPAREN_,0,0
EX_asp_DASH_L_LPAREN_e_RPAREN_,0,-3.06954461848363E-11
EX_btn_LPAREN_e_RPAREN_,1.00563792169745E-18,-1.06444477143415E-11
EX_but_LPAREN_e_RPAREN_,0,-1.92830566828993E-11
EX_butso3_LPAREN_e_RPAREN_,0,-1.73721231377471E-11
EX_ca2_LPAREN_e_RPAREN_,1.49848850926833E-17,0
EX_cbi_LPAREN_e_RPAREN_,0,0
EX_cbl1_LPAREN_e_RPAREN_,-5.04791239353075E-18,0
EX_cd2_LPAREN_e_RPAREN_,0,0
EX_cgly_LPAREN_e_RPAREN_,0,-2.07344695515046E-11
EX_chol_LPAREN_e_RPAREN_,0,0
EX_chtbs_LPAREN_e_RPAREN_,0,-5.91504806223906E-12
EX_cit_LPAREN_e_RPAREN_,0,-1.90921353296033E-11
EX_cl_LPAREN_e_RPAREN_,-1.2064919842097E-16,0
EX_cm_LPAREN_e_RPAREN_,0,0
EX_cmp_LPAREN_e_RPAREN_,0,-1.80215483017751E-11
EX_co2_LPAREN_e_RPAREN_,-0.0809711612,-0.0809711665
EX_cobalt2_LPAREN_e_RPAREN_,1.71561660990478E-15,0
EX_colipa_LPAREN_e_RPAREN_,0,-1.8408638247631E-12
EX_colipap_LPAREN_e_RPAREN_,0,-1.8408638247631E-12
EX_cpgn_LPAREN_e_RPAREN_,0,0
EX_cpgn_DASH_un_LPAREN_e_RPAREN_,0,0
EX_crn_LPAREN_e_RPAREN_,0,0
EX_crn_DASH_D_LPAREN_e_RPAREN_,0,0
EX_csn_LPAREN_e_RPAREN_,0,0
EX_cu_LPAREN_e_RPAREN_,0,0
EX_cu2_LPAREN_e_RPAREN_,4.90343570383408E-14,0
EX_cyan_LPAREN_e_RPAREN_,0,0
EX_cynt_LPAREN_e_RPAREN_,0,0
EX_cys_DASH_D_LPAREN_e_RPAREN_,0,0
EX_cys_DASH_L_LPAREN_e_RPAREN_,0,-2.06503683670466E-11
EX_cytd_LPAREN_e_RPAREN_,0,-1.83344145615864E-11
EX_dad_DASH_2_LPAREN_e_RPAREN_,0,-1.19620875493277E-11
EX_damp_LPAREN_e_RPAREN_,0,0
EX_dca_LPAREN_e_RPAREN_,0,-7.15646881019428E-12
EX_dcmp_LPAREN_e_RPAREN_,0,4.35783371642092E-28
EX_dcyt_LPAREN_e_RPAREN_,0,4.35783371642092E-28
EX_ddca_LPAREN_e_RPAREN_,0,0
EX_dgmp_LPAREN_e_RPAREN_,0,0
EX_dgsn_LPAREN_e_RPAREN_,0,0
EX_dha_LPAREN_e_RPAREN_,0,-3.28211493284362E-11
EX_dimp_LPAREN_e_RPAREN_,0,-1.22314842217775E-11
EX_din_LPAREN_e_RPAREN_,0,-1.22314842217775E-11
EX_dms_LPAREN_e_RPAREN_,0,0
EX_dmso_LPAREN_e_RPAREN_,0,0
EX_dopa_LPAREN_e_RPAREN_,0,0
EX_doxrbcn_LPAREN_e_RPAREN_,0,0
EX_dtmp_LPAREN_e_RPAREN_,0,-1.40662068550441E-11
EX_dump_LPAREN_e_RPAREN_,0,0
EX_duri_LPAREN_e_RPAREN_,0,0
EX_eca4colipa_LPAREN_e_RPAREN_,1.5437194945078E-11,-1.03211161410177E-12
EX_enlipa_LPAREN_e_RPAREN_,0,-2.50208789546766E-12
EX_enter_LPAREN_e_RPAREN_,0,-3.32901302616736E-12
EX_etha_LPAREN_e_RPAREN_,0,-3.41124464475362E-11
EX_ethso3_LPAREN_e_RPAREN_,0,-3.411856828981E-11
EX_etoh_LPAREN_e_RPAREN_,0,-3.35303171123995E-11
EX_f6p_LPAREN_e_RPAREN_,0,-1.60723834092494E-11
EX_fald_LPAREN_e_RPAREN_,0,0
EX_fe2_LPAREN_e_RPAREN_,-1000,-2.59319676843006E-10
EX_fe3_LPAREN_e_RPAREN_,-4.62853135320851E-13,1000
EX_fe3dcit_LPAREN_e_RPAREN_,0,-9.07737590298061E-12
EX_fe3dhbzs_LPAREN_e_RPAREN_,0,0
EX_fe3hox_LPAREN_e_RPAREN_,0,0
EX_fe3hox_DASH_un_LPAREN_e_RPAREN_,0,-1.25040603719921E-13
EX_fecrm_LPAREN_e_RPAREN_,0,0
EX_fecrm_DASH_un_LPAREN_e_RPAREN_,0,0
EX_feenter_LPAREN_e_RPAREN_,0,-3.01420376841377E-12
EX_feoxam_LPAREN_e_RPAREN_,0,0
EX_feoxam_DASH_un_LPAREN_e_RPAREN_,0,0
EX_for_LPAREN_e_RPAREN_,0,-2.21553827591729E-10
EX_fru_LPAREN_e_RPAREN_,0,-1.47702551727819E-11
EX_frulys_LPAREN_e_RPAREN_,0,-6.71375235126451E-12
EX_fruur_LPAREN_e_RPAREN_,0,0
EX_fuc_DASH_L_LPAREN_e_RPAREN_,0,0
EX_fum_LPAREN_e_RPAREN_,0,8.07793566946316E-28
EX_fusa_LPAREN_e_RPAREN_,0,0
EX_g1p_LPAREN_e_RPAREN_,0,0
EX_g3pc_LPAREN_e_RPAREN_,0,0
EX_g3pe_LPAREN_e_RPAREN_,0,3.10963464226925E-10
EX_g3pg_LPAREN_e_RPAREN_,0,2.82494978065305E-10
EX_g3pi_LPAREN_e_RPAREN_,0,0
EX_g3ps_LPAREN_e_RPAREN_,0,0
EX_g6p_LPAREN_e_RPAREN_,0,0
EX_gal_LPAREN_e_RPAREN_,0,0
EX_gal_DASH_bD_LPAREN_e_RPAREN_,0,0
EX_gal1p_LPAREN_e_RPAREN_,0,0
EX_galct_DASH_D_LPAREN_e_RPAREN_,0,0
EX_galctn_DASH_D_LPAREN_e_RPAREN_,0,0
EX_galctn_DASH_L_LPAREN_e_RPAREN_,0,0
EX_galt_LPAREN_e_RPAREN_,0,0
EX_galur_LPAREN_e_RPAREN_,0,0
EX_gam_LPAREN_e_RPAREN_,0,0
EX_gam6p_LPAREN_e_RPAREN_,0,0
EX_gbbtn_LPAREN_e_RPAREN_,0,0
EX_gdp_LPAREN_e_RPAREN_,0,0
EX_glc_LPAREN_e_RPAREN_,-0.23,-0.23
EX_glcn_LPAREN_e_RPAREN_,0,-1.62157586652714E-11
EX_glcr_LPAREN_e_RPAREN_,0,3.38973033845769E-10
EX_glcur_LPAREN_e_RPAREN_,0,3.84691309205626E-10
EX_glcur1p_LPAREN_e_RPAREN_,0,3.84691309205626E-10
EX_gln_DASH_L_LPAREN_e_RPAREN_,0,4.08243838340664E-10
EX_glu_DASH_L_LPAREN_e_RPAREN_,0,4.08243838340664E-10
EX_gly_LPAREN_e_RPAREN_,0,1.21337961900281E-09
EX_glyald_LPAREN_e_RPAREN_,0,6.25633424781302E-10
EX_glyb_LPAREN_e_RPAREN_,-2.31426567660426E-13,0
EX_glyc_LPAREN_e_RPAREN_,0,5.63951256140893E-10
EX_glyc_DASH_R_LPAREN_e_RPAREN_,0,5.48891617895003E-10
EX_glyc2p_LPAREN_e_RPAREN_,0,5.63951256140893E-10
EX_glyc3p_LPAREN_e_RPAREN_,0,4.89463950528238E-10
EX_glyclt_LPAREN_e_RPAREN_,0,0.000000001
EX_gmp_LPAREN_e_RPAREN_,0,2.55865247491626E-10
EX_gsn_LPAREN_e_RPAREN_,0,2.55865247491626E-10
EX_gthox_LPAREN_e_RPAREN_,0,9.67119051541722E-11
EX_gthrd_LPAREN_e_RPAREN_,0,1.89318116221611E-10
EX_gtp_LPAREN_e_RPAREN_,0,0
EX_gua_LPAREN_e_RPAREN_,0,5.80903058992578E-10
EX_h_LPAREN_e_RPAREN_,-999.7078057667,0.2921942386
EX_h2_LPAREN_e_RPAREN_,0,0
EX_h2o_LPAREN_e_RPAREN_,0.2112230668,500.2112230697
EX_h2o2_LPAREN_e_RPAREN_,-2.07493702858274E-14,0
EX_h2s_LPAREN_e_RPAREN_,0,0.000000001
EX_hacolipa_LPAREN_e_RPAREN_,0,8.94786424584922E-11
EX_halipa_LPAREN_e_RPAREN_,0,8.94786424584922E-11
EX_hdca_LPAREN_e_RPAREN_,0,8.94786424584922E-11
EX_hdcea_LPAREN_e_RPAREN_,0,0
EX_hg2_LPAREN_e_RPAREN_,0,0
EX_his_DASH_L_LPAREN_e_RPAREN_,-5.19165738436769E-16,3.33618352242239E-10
EX_hom_DASH_L_LPAREN_e_RPAREN_,0,4.76676252925768E-10
EX_hxa_LPAREN_e_RPAREN_,0,2.50255033011018E-10
EX_hxan_LPAREN_e_RPAREN_,0,5.48476003881399E-10
EX_idon_DASH_L_LPAREN_e_RPAREN_,0,3.67342666317242E-10
EX_ile_DASH_L_LPAREN_e_RPAREN_,-1.59210351519238E-15,2.6170163809529E-10
EX_imp_LPAREN_e_RPAREN_,0,0
EX_indole_LPAREN_e_RPAREN_,0,2.08881208626129E-10
EX_inost_LPAREN_e_RPAREN_,0,0
EX_ins_LPAREN_e_RPAREN_,0,2.27981254140182E-10
EX_isetac_LPAREN_e_RPAREN_,0,8.12409530186009E-26
EX_k_LPAREN_e_RPAREN_,-1.06966072729727E-15,0
EX_kdo2lipid4_LPAREN_e_RPAREN_,9.26231048422446E-11,1.92127152674792E-11
EX_lac_DASH_D_LPAREN_e_RPAREN_,0,6.9171134792212E-10
EX_lac_DASH_L_LPAREN_e_RPAREN_,0,6.68654302991383E-10
EX_lcts_LPAREN_e_RPAREN_,0,1.67863004935075E-10
EX_leu_DASH_L_LPAREN_e_RPAREN_,-2.62611904038112E-15,2.55536676302439E-10
EX_lipa_LPAREN_e_RPAREN_,0,5.56467610760015E-11
EX_lipa_cold_LPAREN_e_RPAREN_,0,4.8338933416623E-11
EX_lipoate_LPAREN_e_RPAREN_,0,3.62084983282231E-11
EX_lys_DASH_L_LPAREN_e_RPAREN_,0,2.7453982440964E-10
EX_lyx_DASH_L_LPAREN_e_RPAREN_,0,0
EX_mal_DASH_D_LPAREN_e_RPAREN_,0,0
EX_mal_DASH_L_LPAREN_e_RPAREN_,0,6.36206275458355E-10
EX_malt_LPAREN_e_RPAREN_,0,1.67004147307818E-10
EX_malthx_LPAREN_e_RPAREN_,0,5.53604908202712E-11
EX_maltpt_LPAREN_e_RPAREN_,0,0
EX_malttr_LPAREN_e_RPAREN_,0,0
EX_maltttr_LPAREN_e_RPAREN_,0,-4.09070193639612E-24
EX_man_LPAREN_e_RPAREN_,0,0
EX_man6p_LPAREN_e_RPAREN_,0,7.09631118227661E-25
EX_manglyc_LPAREN_e_RPAREN_,0,-1.0654265859375E-23
EX_melib_LPAREN_e_RPAREN_,0,0
EX_meoh_LPAREN_e_RPAREN_,1.59479107727031E-15,-1.96723232874786E-14
EX_met_DASH_D_LPAREN_e_RPAREN_,0,0
EX_met_DASH_L_LPAREN_e_RPAREN_,0,0
EX_metsox_DASH_R_DASH_L_LPAREN_e_RPAREN_,0,0
EX_metsox_DASH_S_DASH_L_LPAREN_e_RPAREN_,0,0
EX_mg2_LPAREN_e_RPAREN_,5.33058042925839E-13,0
EX_mincyc_LPAREN_e_RPAREN_,0,0
EX_minohp_LPAREN_e_RPAREN_,0,0
EX_mmet_LPAREN_e_RPAREN_,0,0
EX_mn2_LPAREN_e_RPAREN_,4.27294819185261E-14,0
EX_mnl_LPAREN_e_RPAREN_,0,0
EX_mobd_LPAREN_e_RPAREN_,8.40100820717893E-15,0
EX_mso3_LPAREN_e_RPAREN_,0,0
EX_n2o_LPAREN_e_RPAREN_,0,0
EX_na1_LPAREN_e_RPAREN_,0,-3.56325642713808E-14
EX_nac_LPAREN_e_RPAREN_,1.40522161521734E-13,0
EX_nh4_LPAREN_e_RPAREN_,3.28559888273957E-09,4.14090923198514E-18
EX_ni2_LPAREN_e_RPAREN_,1.95688785334793E-14,0
EX_nmn_LPAREN_e_RPAREN_,1.38012090709829E-13,0
EX_no_LPAREN_e_RPAREN_,0,0
EX_no2_LPAREN_e_RPAREN_,0,0
EX_no3_LPAREN_e_RPAREN_,0,0
EX_novbcn_LPAREN_e_RPAREN_,0,0
EX_o16a4colipa_LPAREN_e_RPAREN_,1.50516203355372E-11,1.44349236841973E-14
EX_o2_LPAREN_e_RPAREN_,-250.0651259502,-0.0651259477
EX_o2s_LPAREN_e_RPAREN_,0,0
EX_ocdca_LPAREN_e_RPAREN_,0,7.840733965043E-11
EX_ocdcea_LPAREN_e_RPAREN_,0,0
EX_octa_LPAREN_e_RPAREN_,0,0
EX_orn_LPAREN_e_RPAREN_,0,3.30882237190533E-10
EX_orot_LPAREN_e_RPAREN_,0,0
EX_pacald_LPAREN_e_RPAREN_,0,2.42624730287372E-10
EX_peamn_LPAREN_e_RPAREN_,0,2.42624730287372E-10
EX_phe_DASH_L_LPAREN_e_RPAREN_,1.09102815367756E-11,1.94335342220468E-10
EX_pheme_LPAREN_e_RPAREN_,3.91495793206266E-14,4.65002911731179E-11
EX_pi_LPAREN_e_RPAREN_,-4.2861271047982E-14,5.65945336818784E-13
EX_pnto_DASH_R_LPAREN_e_RPAREN_,-5.85750100050215E-17,0
EX_ppa_LPAREN_e_RPAREN_,0,0
EX_ppal_LPAREN_e_RPAREN_,0,0
EX_pppn_LPAREN_e_RPAREN_,0,0
EX_ppt_LPAREN_e_RPAREN_,0,0
EX_pro_DASH_L_LPAREN_e_RPAREN_,0,3.42194450427817E-10
EX_progly_LPAREN_e_RPAREN_,0,2.66911671333698E-10
EX_psclys_LPAREN_e_RPAREN_,0,0
EX_pser_DASH_L_LPAREN_e_RPAREN_,0,5.42161801568933E-14
EX_ptrc_LPAREN_e_RPAREN_,0,3.33609239960523E-10
EX_pydam_LPAREN_e_RPAREN_,0,2.19884500825301E-10
EX_pydx_LPAREN_e_RPAREN_,-1.18618143498204E-18,0
EX_pydxn_LPAREN_e_RPAREN_,0,0
EX_pyr_LPAREN_e_RPAREN_,0,7.84896161953874E-10
EX_quin_LPAREN_e_RPAREN_,0,2.85999108770585E-10
EX_r5p_LPAREN_e_RPAREN_,0,0
EX_rfamp_LPAREN_e_RPAREN_,0,0
EX_rib_DASH_D_LPAREN_e_RPAREN_,0,0
EX_rmn_LPAREN_e_RPAREN_,0,0
EX_sbt_DASH_D_LPAREN_e_RPAREN_,0,0
EX_sel_LPAREN_e_RPAREN_,0,0
EX_ser_DASH_D_LPAREN_e_RPAREN_,0,0
EX_ser_DASH_L_LPAREN_e_RPAREN_,0,7.83302311901934E-10
EX_skm_LPAREN_e_RPAREN_,0,2.81335068357899E-10
EX_slnt_LPAREN_e_RPAREN_,0,0
EX_so2_LPAREN_e_RPAREN_,0,0
EX_so3_LPAREN_e_RPAREN_,0,0
EX_so4_LPAREN_e_RPAREN_,4.24081684083131E-17,0
EX_spmd_LPAREN_e_RPAREN_,5.20492098993708E-17,2.18439814931857E-10
EX_succ_LPAREN_e_RPAREN_,0,5.79597409843687E-10
EX_sucr_LPAREN_e_RPAREN_,0,1.66646655958241E-10
EX_sulfac_LPAREN_e_RPAREN_,0,7.30116042481556E-29
EX_tartr_DASH_D_LPAREN_e_RPAREN_,0,0
EX_tartr_DASH_L_LPAREN_e_RPAREN_,0,0
EX_taur_LPAREN_e_RPAREN_,0,1.50466673348104E-17
EX_tcynt_LPAREN_e_RPAREN_,0,0
EX_thm_LPAREN_e_RPAREN_,0,0
EX_thr_DASH_L_LPAREN_e_RPAREN_,0,4.76575223729014E-10
EX_thrp_LPAREN_e_RPAREN_,0,0
EX_thym_LPAREN_e_RPAREN_,0,4.35398345396844E-10
EX_thymd_LPAREN_e_RPAREN_,0,1.9730640979384E-10
EX_tma_LPAREN_e_RPAREN_,0,0
EX_tmao_LPAREN_e_RPAREN_,0,0
EX_tre_LPAREN_e_RPAREN_,0,1.66912009996429E-10
EX_trp_DASH_L_LPAREN_e_RPAREN_,0,1.64875699556522E-10
EX_tsul_LPAREN_e_RPAREN_,0,0
EX_ttdca_LPAREN_e_RPAREN_,0,1.02720452171555E-10
EX_ttdcea_LPAREN_e_RPAREN_,0,0
EX_ttrcyc_LPAREN_e_RPAREN_,0,0
EX_tungs_LPAREN_e_RPAREN_,0,0
EX_tym_LPAREN_e_RPAREN_,0,0
EX_tyr_DASH_L_LPAREN_e_RPAREN_,-3.05977075253705E-15,2.01297213968521E-10
EX_tyrp_LPAREN_e_RPAREN_,0,0
EX_uacgam_LPAREN_e_RPAREN_,0,1.48915039329873E-10
EX_udpacgal_LPAREN_e_RPAREN_,0,0
EX_udpg_LPAREN_e_RPAREN_,0,0
EX_udpgal_LPAREN_e_RPAREN_,0,0
EX_udpglcur_LPAREN_e_RPAREN_,0,0
EX_ump_LPAREN_e_RPAREN_,0,3.71463821393154E-26
EX_ura_LPAREN_e_RPAREN_,0,-3.05817593471147E-11
EX_urea_LPAREN_e_RPAREN_,0,-6.73398607995749E-11
EX_uri_LPAREN_e_RPAREN_,0,-1.86717901673829E-11
EX_val_DASH_L_LPAREN_e_RPAREN_,0,-1.59802640088198E-11
EX_xan_LPAREN_e_RPAREN_,0,6.05044073901038E-10
EX_xmp_LPAREN_e_RPAREN_,0,2.42007582996984E-10
EX_xtsn_LPAREN_e_RPAREN_,0,2.42007582996984E-10
EX_xyl_DASH_D_LPAREN_e_RPAREN_,0,0
EX_xylu_DASH_L_LPAREN_e_RPAREN_,0,0
EX_zn2_LPAREN_e_RPAREN_,-7.13810278747696E-18,0
12DGR120tipp,0,0.000000008
12DGR140tipp,0,0.000000008
12DGR141tipp,0,0.000000008
12DGR160tipp,0,0.000000008
12DGR161tipp,0,0.000000008
12DGR180tipp,0,0.000000008
12DGR181tipp,0,0.000000008
12PPDRtex,-3.40019884507042E-13,0
12PPDRtpp,-3.40019884507042E-13,0
12PPDStex,-3.31301425929938E-13,0
12PPDStpp,-3.31301425929938E-13,0
14GLUCANabcpp,0,0
14GLUCANtexi,-3.56926950587503E-14,0
23CAMPtex,4.43722031842788E-26,0
23CCMPtex,0,0
23CGMPtex,-2.37327891215319E-25,0
23CUMPtex,0,0
23DAPPAt2pp,0,0
23DAPPAtex,0,0
23PDE2pp,0,0
23PDE4pp,0,0
23PDE7pp,0,0
23PDE9pp,0,0
26DAHtex,0,0
2AGPA120tipp,0,7.26250122666409E-09
2AGPA140tipp,0,1.33145855822173E-08
2AGPA141tipp,0,1.33145855822174E-08
2AGPA160tipp,0,1.33145855822174E-08
2AGPA161tipp,0,8.87639038814494E-09
2AGPA180tipp,0,1.33145855822174E-08
2AGPA181tipp,0,4.43819519407245E-09
2AGPE120tipp,0,0.00000001
2AGPE140tipp,0,8.90439774306061E-09
2AGPE141tipp,0,6.67846883755204E-09
2AGPE160tipp,0,8.90462511673605E-09
2AGPE161tipp,0,8.90462511673588E-09
2AGPE180tipp,0,8.90462511673605E-09
2AGPE181tipp,0,8.90462511673605E-09
2AGPEAT120,0,6.67846883755199E-09
2AGPEAT140,0,6.67846883755204E-09
2AGPEAT141,0,6.67846883755192E-09
2AGPEAT160,0,6.6784688375521E-09
2AGPEAT161,0,6.68194388708798E-09
2AGPEAT180,0,6.68200612202741E-09
2AGPEAT181,0,7.51725688728084E-09
2AGPG120tipp,0,1.33640122440548E-08
2AGPG140tipp,0,1.33640122440548E-08
2AGPG141tipp,0,0.00000001
2AGPG160tipp,0,0.000000008
2AGPG161tipp,0,0.00000001
2AGPG180tipp,0,7.28946122402992E-09
2AGPG181tipp,0,0.00000001
2AGPGAT120,0,0.00000001
2AGPGAT140,0,0.000000008
2AGPGAT141,0,0.00000001
2AGPGAT160,0,0.000000008
2AGPGAT161,0,0.000000008
2AGPGAT180,0,8.90934149603653E-09
2AGPGAT181,0,1.14548676377612E-08
2DGULRGx,0,0
2DGULRGy,0,0
2DGULRx,0,0
2DGULRy,0,0
2MAHMP,0,0.00000002
34dhpactex,0,0
3AMACHYD,7.39557098644699E-32,1.82236530600754E-09
3AMPtex,-1.2736815847872E-32,0
3CMPtex,9.86076131526264E-32,0
3GMPtex,3.69421096724671E-28,0
3HAD100,0,0.000000001
3HAD120,0,1.70479046784443E-09
3HAD121,0,1.63520717595066E-09
3HAD140,0,1.7418511186522E-09
3HAD141,0,1.70479046112075E-09
3HAD160,0,1.82102617437899E-09
3HAD161,0,1.86337562029477E-09
3HAD180,0,1.86337562029477E-09
3HAD181,0,1.74185112331903E-09
3HAD40,-3.58444932106312E-24,7.70434150698801E-10
3HAD60,-3.58444932106312E-24,7.70434150698801E-10
3HAD80,-1.24077091882954E-24,7.70434150698801E-10
3HCINNMH,0,0
3HPPPNH,0,0
3HPPtex,4.92699959074546E-10,4.49370256296244E-17
3HPPtpp,0,1.82102622279002E-09
3KGK,0,0
3NTD2pp,0,0
3NTD4pp,0,0
3NTD7pp,0,0
3NTD9pp,0,0
3OAR100,0,0.000000001
3OAR120,0,1.70479043316668E-09
3OAR121,0,1.54086830019768E-09
3OAR140,0,1.70279177991881E-09
3OAR141,0,1.5692394834546E-09
3OAR160,0,1.70279177991882E-09
3OAR161,0,1.70279177991881E-09
3OAR180,0,1.70279177991881E-09
3OAR181,0,0.000000002
3OAR40,0,0.000000001
3OAR60,0,0.000000001
3OAR80,0,0.000000001
3OAS100,0,1.19010096636546E-09
3OAS120,0,0.000000002
3OAS121,0,1.85434336619734E-09
3OAS140,0,1.69645918117083E-09
3OAS141,0,1.44970148209144E-09
3OAS160,0,2.21482170875081E-09
3OAS161,0,1.89841860750069E-09
3OAS180,0,1.85426933755882E-09
3OAS181,0,3.62403666672016E-09
3OAS60,0,4.28493962193443E-10
3OAS80,0,4.28459662065647E-10
3OXCOAT,0,0
3PEPTabcpp,0,1.74176020821416E-09
3PEPTtex,1.26541206140094E-10,0
3UMPtex,-1.22652301795457E-23,0
42A12BOOXpp,0,0
4HOXPACDtex,0,0
4HTHRS,0,0
4PCP,0,1.82093112676934E-09
4PCPpp,0,1.60326088958438E-09
4PEPTabcpp,0,1.67006342665039E-09
4PEPTtex,1.12898027576882E-10,0
5DGLCNR,3.91450209988228E-10,0
5DGLCNt2rpp,3.91450209988228E-10,0
5DGLCNtex,3.91450209988228E-10,0
5DOAN,0,3.71125205922312E-10
5MTRtex,1.52142068405992E-10,0
5MTRtpp,8.21713695533215E-12,1.55354737362828E-10
A5PISO,0,3.80262846914658E-11
AACPS1,0,0.00000002
AACPS2,0,0.00000002
AACPS3,0,0.00000002
AACPS4,0,0.00000002
AACPS5,0,0.00000002
AACPS6,0,0.00000002
AACPS7,0,0.00000002
AACPS8,0,0.00000002
AACPS9,0,0.00000002
AACTOOR,0,3.3368062442423E-09
AADDGT,0,8.39448111759051E-11
AAMYL,0,0
AAMYLpp,0,0
AB6PGH,0,0
ABTA,-6.37779444258173E-26,2.66870574286836E-09
ABUTD,-6.37779444258173E-26,1.90621838776325E-09
ABUTt2pp,0,1000
ABUTtex,4.31805716183398E-10,0
ACACCT,0,0
ACACT1r,4.47966701018371E-10,3.0326201623507E-10
ACACT2r,4.47966701018371E-10,2.50191162769883E-10
ACACT3r,4.47966701018371E-10,1.1088804965618E-10
ACACT4r,0.000000001,1.1088804965618E-10
ACACT5r,1.78233559766882E-09,1.10888049656183E-10
ACACT6r,1.94813425791709E-09,9.5881663518158E-11
ACACT7r,2.20446771290618E-09,4.80911282555336E-11
ACACT8r,8.20467904901436E-11,1.7057002324867E-09
ACACt2pp,-9.67898139598237E-26,0
ACACtex,-9.67898139598237E-26,0
