Reaction,minimum,maximum
DM_4CRSOL,0,-5.88743469783581E-12
DM_5DRIB,0,-5.50397749895408E-12
DM_AACALD,0,0
DM_AMOB,-1.4749788464618E-14,-4.30652896323808E-12
DM_MTHTHF,3.12034548161506E-14,-1.72197326553287E-11
DM_OXAM,0,-4.44760141138512E-11
Ec_biomass_iJO1366_WT_53p95M,0,-2.76917006174935E-12
Ec_biomass_iJO1366_core_53p95M,0,-2.78268956783461E-12
EX_12ppd_DASH_R_LPAREN_e_RPAREN_,0,-2.51720256291906E-11
EX_12ppd_DASH_S_LPAREN_e_RPAREN_,0,-2.4526589074596E-11
EX_14glucan_LPAREN_e_RPAREN_,0,-2.63146347705432E-12
EX_15dap_LPAREN_e_RPAREN_,0,2.73883055133941E-10
EX_23camp_LPAREN_e_RPAREN_,0,2.61352457840232E-10
EX_23ccmp_LPAREN_e_RPAREN_,0,2.3569173851163E-10
EX_23cgmp_LPAREN_e_RPAREN_,0,2.44579550315679E-10
EX_23cump_LPAREN_e_RPAREN_,0,0
EX_23dappa_LPAREN_e_RPAREN_,0,0
EX_26dap_DASH_M_LPAREN_e_RPAREN_,0,0
EX_2ddglcn_LPAREN_e_RPAREN_,0,-4.60335900898891E-26
EX_34dhpac_LPAREN_e_RPAREN_,0,0
EX_3amp_LPAREN_e_RPAREN_,0,-5.43859600045549E-14
EX_3cmp_LPAREN_e_RPAREN_,0,0
EX_3gmp_LPAREN_e_RPAREN_,0,3.47551158831491E-14
EX_3hcinnm_LPAREN_e_RPAREN_,0,1.14058983450601E-25
EX_3hpp_LPAREN_e_RPAREN_,0,4.72263327160992E-10
EX_3hpppn_LPAREN_e_RPAREN_,0,2.51977223153929E-10
EX_3ump_LPAREN_e_RPAREN_,0,2.4281441503924E-10
EX_4abut_LPAREN_e_RPAREN_,0,4.12455847254023E-10
EX_4hoxpacd_LPAREN_e_RPAREN_,0,0
EX_5dglcn_LPAREN_e_RPAREN_,0,3.77367738734684E-10
EX_5mtr_LPAREN_e_RPAREN_,0,2.47684088581279E-10
EX_LalaDglu_LPAREN_e_RPAREN_,0,0
EX_LalaDgluMdap_LPAREN_e_RPAREN_,0,2.465069465424E-10
EX_LalaDgluMdapDala_LPAREN_e_RPAREN_,0,1.79883351457598E-10
EX_LalaLglu_LPAREN_e_RPAREN_,0,0
EX_ac_LPAREN_e_RPAREN_,-1.35E-15,3.12E-11
EX_acac_LPAREN_e_RPAREN_,0,1.20754619438412E-15
EX_acald_LPAREN_e_RPAREN_,0,7.84330315535373E-10
EX_acgal_LPAREN_e_RPAREN_,0,0
EX_acgal1p_LPAREN_e_RPAREN_,0,0
EX_acgam_LPAREN_e_RPAREN_,0,2.45403963756467E-10
EX_acgam1p_LPAREN_e_RPAREN_,0,2.45403963756467E-10
EX_acmana_LPAREN_e_RPAREN_,0,0
EX_acmum_LPAREN_e_RPAREN_,0,1.80183991406775E-10
EX_acnam_LPAREN_e_RPAREN_,0,0
EX_acolipa_LPAREN_e_RPAREN_,0,3.48287732627811E-11
EX_acser_LPAREN_e_RPAREN_,0,4.16673111652382E-10
EX_ade_LPAREN_e_RPAREN_,0,5.33332228915992E-10
